table,model_id,timing_mode,checkpoint_id,outcome_id,n_forecasts,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,RMSE,MAE,bias
point,ar,exact,pre_advance,A,80,1.0,0.0,,,,7.136876466075766,2.4019986787197354,-0.0348836821925187
point,bridge,exact,pre_advance,A,80,1.0,0.0,,,,4.873697083215683,2.0735239008375914,-0.08665986755251
point,indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,0.95,32.2,9.911977384456934e-05,9.568364725281164e-05,0.0004407521312018,3.7842963765530553,2.2540362167278443,0.2577809206831621
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,0.925,33.5375,0.0001028222831318,9.462330745803947e-05,0.0004396621981596,3.728715671238871,2.1267077434969357,0.098753741867061
point,midas_umidas,exact,pre_advance,A,80,1.0,0.0,,,,13.366462459510316,8.137926816907179,-1.4902070873138529
point,monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,0.4875,42.025,0.0001961458931932,0.0001195905203953,0.001634762071837,4.566620727826671,2.2321430067689043,0.3435558737830652
point,no_revision,exact,pre_advance,A,80,1.0,0.0,,,,7.26944298718703,2.553570419453158,-0.1943847229089564
point,release_dfm,exact,pre_advance,A,80,1.0,0.0,,,,3.0658631497628757,1.6259560683385963,0.5613778136832768
point,revision_dfm_kalman_em,exact,pre_advance,A,80,0.9875,26.75,9.317834574839334e-05,9.461860964307216e-05,0.0001068750087724,3.4608725211971874,1.8943277358201656,0.1415636518203231
point,spf,exact,pre_advance,A,80,1.0,0.0,,,,2.2249600782092696,1.33806625,0.0324862499999999
point,standard_dfm,exact,pre_advance,A,80,1.0,0.0,,,,3.0658631497628757,1.6259560683385963,0.5613778136832768
point,ar,exact,pre_second,S,79,1.0,0.0,,,,6.942115480721942,2.4901407735357477,0.042512275116617
point,bridge,exact,pre_second,S,79,1.0,0.0,,,,4.54265384858136,2.0823601603453783,-0.0567565170461702
point,indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,0.9367088607594936,32.848101265822784,0.0002458646165553,9.470560952095012e-05,0.0117415710671685,0.6031968268123363,0.4468981182764802,-0.0130958277211166
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,0.8987341772151899,34.392405063291136,0.0002534816956179,9.453823182512645e-05,0.0116213479393917,0.6709665885232214,0.4935246775683286,0.0560333631801557
point,midas_umidas,exact,pre_second,S,79,1.0,0.0,,,,4.770330173181986,2.073561429579366,0.4285683883104983
point,monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,0.5316455696202531,41.11392405063291,0.0001727310080214,9.960096374070522e-05,0.0010979661337497,0.6033540462563964,0.4079366984883378,-0.0003529027428442
point,no_revision,exact,pre_second,S,79,1.0,0.0,,,,0.5696627235545563,0.3997025316455696,-0.0657987341772151
point,release_dfm,exact,pre_second,S,79,1.0,0.0,,,,0.6907381923525489,0.4420605262914328,-0.0075048396001814
point,revision_dfm_kalman_em,exact,pre_second,S,79,0.9873417721518988,27.126582278481013,9.37143729479024e-05,9.413889363531712e-05,0.0001426551480553,0.6692965351154512,0.454074424511272,0.0640420658666566
point,spf,exact,pre_second,S,79,1.0,0.0,,,,2.3374416593545337,1.447506329113924,-0.033232911392405
point,standard_dfm,exact,pre_second,S,79,1.0,0.0,,,,2.9233852978395793,1.6559888022137654,0.6257983634253164
point,ar,exact,pre_third,T,80,1.0,0.0,,,,6.853900266254954,2.504536216607909,0.0681353139193999
point,bridge,exact,pre_third,T,80,1.0,0.0,,,,4.4019297631577015,2.034724902716331,-0.0398637238758494
point,indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,0.95,32.5125,9.499113870297814e-05,9.47864608061638e-05,0.0002309385179954,0.3738054158364278,0.2439344774965532,-0.049610372416616
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,0.9375,33.7875,0.0001069046382776,9.530341283520122e-05,0.0004838210411117,0.3743265980671046,0.248137064499675,-0.0387901217086261
point,midas_umidas,exact,pre_third,T,80,1.0,0.0,,,,6.1904905088081,2.464334501422958,0.360042216092577
point,monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,0.5625,40.175,0.0001812144341774,9.957530072125667e-05,0.0013355109312751,0.370207999738431,0.2493336949327754,-0.0120096470183994
point,no_revision,exact,pre_third,T,80,1.0,0.0,,,,0.3621867125530698,0.2402725,-0.0484925
point,release_dfm,exact,pre_third,T,80,1.0,0.0,,,,0.4446166872002175,0.2866196694384428,-0.0044366886745788
point,revision_dfm_kalman_em,exact,pre_third,T,80,1.0,26.0625,9.24096409737748e-05,9.371871046059954e-05,9.95723951507454e-05,0.3746133849950105,0.2467743380749616,-0.0393018674008614
point,spf,exact,pre_third,T,80,1.0,0.0,,,,2.380187605841187,1.481165,-0.0809825000000001
point,standard_dfm,exact,pre_third,T,80,1.0,0.0,,,,2.9071466913431796,1.6952067512158628,0.626428932902157
point,ar,pseudo,pre_advance,A,80,1.0,0.0,,,,7.136876466075766,2.4019986787197354,-0.0348836821925187
point,bridge,pseudo,pre_advance,A,80,1.0,0.0,,,,4.853299396730429,2.061680360176223,-0.0626212282907241
point,indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,0.9375,32.6375,0.0001014316273253,9.542306833885698e-05,0.0004640033416065,3.783621919624948,2.245907623058902,0.274803537080136
point,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,0.925,33.65,0.0001008884098517,9.450972415733228e-05,0.0004063143076596,3.7271971140731046,2.1234325360757564,0.1025863742284976
point,midas_umidas,pseudo,pre_advance,A,80,1.0,0.0,,,,13.55397343598597,8.229496807262095,-1.5805326543914464
point,monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,0.4875,42.0125,0.0001962305801294,0.0001195905203953,0.001634762071837,4.566424041323893,2.2372369949525193,0.3470391533490801
point,no_revision,pseudo,pre_advance,A,80,1.0,0.0,,,,7.26944298718703,2.553570419453158,-0.1943847229089564
point,release_dfm,pseudo,pre_advance,A,80,1.0,0.0,,,,3.051686880620195,1.617840274844697,0.5850074419094152
point,revision_dfm_kalman_em,pseudo,pre_advance,A,80,0.9875,26.7375,9.303071933315364e-05,9.438176188684104e-05,0.0001068750087724,3.447817517140285,1.883701165952524,0.1458481781160656
point,spf,pseudo,pre_advance,A,80,1.0,0.0,,,,2.2249600782092696,1.33806625,0.0324862499999999
point,standard_dfm,pseudo,pre_advance,A,80,1.0,0.0,,,,3.051686880620195,1.617840274844697,0.5850074419094152
point,ar,pseudo,pre_second,S,79,1.0,0.0,,,,6.942115480721942,2.4901407735357477,0.042512275116617
point,bridge,pseudo,pre_second,S,79,1.0,0.0,,,,4.542167880186523,2.0691295163901073,-0.0561920369722996
point,indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,0.9367088607594936,32.67088607594937,0.0002491216568532,9.45669156550351e-05,0.0117415710671685,0.6028646023132717,0.4462453172419819,-0.0135699201056216
point,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,0.8987341772151899,34.20253164556962,0.0002534891323567,9.438888801566398e-05,0.0116213479393917,0.6706690849996222,0.4925332208581199,0.055299957632659
point,midas_umidas,pseudo,pre_second,S,79,1.0,0.0,,,,4.762771639416986,2.056091631828908,0.3916317728814475
