model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
spf,exact,pre_advance,A,80,2.2249600782092696,1.33806625,0.0324862499999999,0.3117554421440996,0.1817896844347592,0.9375,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,A,80,3.0658631497628757,1.6259560683385963,0.5613778136832768,0.4295805264860707,0.2108819315398011,0.9375,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,A,80,3.0658631497628757,1.6259560683385963,0.5613778136832768,0.4295805264860707,0.2108819315398011,0.9375,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,A,80,3.4608725211971874,1.8943277358201656,0.1415636518203231,0.4849281807872119,0.1966149080987025,0.95,0.9875,26.75,9.317834574839334e-05,9.461860964307216e-05,0.0001068750087724,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,3.728715671238871,2.1267077434969357,0.098753741867061,0.5224576450163942,0.2072244987556143,0.875,0.925,33.5375,0.0001028222831318,9.462330745803947e-05,0.0004396621981596,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,3.7842963765530553,2.2540362167278443,0.2577809206831621,0.53024546446071,0.2166801202101493,0.8875,0.95,32.2,9.911977384456934e-05,9.568364725281164e-05,0.0004407521312018,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,4.566620727826671,2.2321430067689043,0.3435558737830652,0.6398626555375481,0.3112420988485571,0.9125,0.4875,42.025,0.0001961458931932,0.0001195905203953,0.001634762071837,0.0,0.0
bridge,exact,pre_advance,A,80,4.873697083215683,2.0735239008375914,-0.08665986755251,0.6828893713352308,0.2066013457099369,0.9,1.0,0.0,,,,0.0,0.0
ar,exact,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.0348836821925187,1.0,1.0,0.9125,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.1943847229089564,1.0185748655930085,0.0511144806424531,0.8875,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_advance,A,80,13.366462459510316,8.137926816907179,-1.4902070873138529,1.8728728909693328,0.0021819846694521,0.6125,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,0.6031968268123363,0.4468981182764802,-0.0130958277211166,0.0868894832544052,0.1557428854020929,0.9746835443037974,0.9367088607594936,32.848101265822784,0.0002458646165553,9.470560952095012e-05,0.0117415710671685,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,0.6033540462563964,0.4079366984883378,-0.0003529027428442,0.0869121304495572,0.1556180014304975,0.9620253164556962,0.5316455696202531,41.11392405063291,0.0001727310080214,9.960096374070522e-05,0.0010979661337497,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,S,79,0.6692965351154512,0.454074424511272,0.0640420658666566,0.0964110345000841,0.1558856683961628,0.9620253164556962,0.9873417721518988,27.126582278481013,9.37143729479024e-05,9.413889363531712e-05,0.0001426551480553,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,0.6709665885232214,0.4935246775683286,0.0560333631801557,0.096651602870404,0.1562697507467557,0.9620253164556962,0.8987341772151899,34.392405063291136,0.0002534816956179,9.453823182512645e-05,0.0116213479393917,0.0,0.0
release_dfm,exact,pre_second,S,79,0.6907381923525489,0.4420605262914328,-0.0075048396001814,0.0994996689799686,0.1561388973955709,0.9620253164556962,1.0,0.0,,,,0.0,0.0
spf,exact,pre_second,S,79,2.3374416593545337,1.447506329113924,-0.033232911392405,0.3367045198031556,0.1749955397615802,0.9240506329113924,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_second,S,79,2.9233852978395793,1.6559888022137654,0.6257983634253164,0.4211087104439184,0.1984054634308842,0.9240506329113924,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_second,S,79,4.54265384858136,2.0823601603453783,-0.0567565170461702,0.6543616079559872,0.1929801326672391,0.9113924050632912,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_second,S,79,4.770330173181986,2.073561429579366,0.4285683883104983,0.6871579976491399,0.2968302601058723,0.8607594936708861,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,S,79,6.942115480721942,2.4901407735357477,0.042512275116617,1.0,1.0,0.8987341772151899,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_third,T,80,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,0.370207999738431,0.2493336949327754,-0.0120096470183994,0.0540142087507667,0.1487782975205208,1.0,0.5625,40.175,0.0001812144341774,9.957530072125667e-05,0.0013355109312751,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,0.3738054158364278,0.2439344774965532,-0.049610372416616,0.0545390801317684,0.1487937876430536,1.0,0.95,32.5125,9.499113870297814e-05,9.47864608061638e-05,0.0002309385179954,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,0.3743265980671046,0.248137064499675,-0.0387901217086261,0.0546151218321769,0.1488054244604222,1.0,0.9375,33.7875,0.0001069046382776,9.530341283520122e-05,0.0004838210411117,0.0,0.0
revision_dfm_kalman_em,exact,pre_third,T,80,0.3746133849950105,0.2467743380749616,-0.0393018674008614,0.0546569647124006,0.1488040718232512,1.0,1.0,26.0625,9.24096409737748e-05,9.371871046059954e-05,9.95723951507454e-05,0.0,0.0
release_dfm,exact,pre_third,T,80,0.4446166872002175,0.2866196694384428,-0.0044366886745788,0.0648706094235539,0.149209923288727,1.0,1.0,0.0,,,,0.0,0.0
spf,exact,pre_third,T,80,2.380187605841187,1.481165,-0.0809825000000001,0.3472749111276093,0.1707967407961682,0.925,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_third,T,80,2.9071466913431796,1.6952067512158628,0.626428932902157,0.4241594680997125,0.1932321572709735,0.925,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_third,T,80,4.4019297631577015,2.034724902716331,-0.0398637238758494,0.642251797101647,0.1851955957714749,0.9,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_third,T,80,6.1904905088081,2.464334501422958,0.360042216092577,0.9032069724280728,0.3866718948368688,0.875,1.0,0.0,,,,0.0,0.0
ar,exact,pre_third,T,80,6.853900266254954,2.504536216607909,0.0681353139193999,1.0,1.0,0.9,1.0,0.0,,,,0.0,0.0
spf,pseudo,pre_advance,A,80,2.2249600782092696,1.33806625,0.0324862499999999,0.3117554421440996,0.1817896844347592,0.9375,1.0,0.0,,,,0.0,0.0
standard_dfm,pseudo,pre_advance,A,80,3.051686880620195,1.617840274844697,0.5850074419094152,0.4275941856533457,0.2116061668132361,0.9375,1.0,0.0,,,,0.0,0.0
release_dfm,pseudo,pre_advance,A,80,3.051686880620195,1.617840274844697,0.5850074419094152,0.4275941856533457,0.2116061668132361,0.9375,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,pseudo,pre_advance,A,80,3.447817517140285,1.883701165952524,0.1458481781160656,0.4830989486127505,0.1969328908808029,0.95,0.9875,26.7375,9.303071933315364e-05,9.438176188684104e-05,0.0001068750087724,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,3.7271971140731046,2.1234325360757564,0.1025863742284976,0.5222448688568258,0.2067190129126455,0.875,0.925,33.65,0.0001008884098517,9.450972415733228e-05,0.0004063143076596,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,3.783621919624948,2.245907623058902,0.274803537080136,0.5301509613638282,0.2163460984006433,0.8875,0.9375,32.6375,0.0001014316273253,9.542306833885698e-05,0.0004640033416065,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,4.566424041323893,2.2372369949525193,0.3470391533490801,0.6398350963519978,0.3111834447780093,0.9125,0.4875,42.0125,0.0001962305801294,0.0001195905203953,0.001634762071837,0.0,0.0
bridge,pseudo,pre_advance,A,80,4.853299396730429,2.061680360176223,-0.0626212282907241,0.6800313021809988,0.2078092787274127,0.9,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.0348836821925187,1.0,1.0,0.9125,1.0,0.0,,,,0.0,0.0
no_revision,pseudo,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.1943847229089564,1.0185748655930085,0.0511144806424531,0.8875,1.0,0.0,,,,0.0,0.0
midas_umidas,pseudo,pre_advance,A,80,13.55397343598597,8.229496807262095,-1.5805326543914464,1.8991464263691624,0.0031455831228358,0.6125,1.0,0.0,,,,0.0,0.0
no_revision,pseudo,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,0.6028646023132717,0.4462453172419819,-0.0135699201056216,0.0868416268769094,0.1557392261334526,0.9746835443037974,0.9367088607594936,32.67088607594937,0.0002491216568532,9.45669156550351e-05,0.0117415710671685,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,0.6033530522611176,0.4076885728975484,-0.0009583002931059,0.0869119872662176,0.1556178895260214,0.9620253164556962,0.5189873417721519,41.36708860759494,0.0001742998622098,9.965606924947431e-05,0.0010979661337497,0.0,0.0
