model_id,timing_mode,checkpoint_id,target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,A,80,0,0.0,0.0,,,,,7.181818733775091,7.136876466075766,,,,,0.0
ar,exact,pre_second,S,79,0,0.0,0.0,,,,,6.986343495667327,6.942115480721942,,,,,0.0
ar,exact,pre_third,T,80,0,0.0,0.0,,,,,6.896802153026556,6.853900266254954,,,,,0.0
ar,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,7.181818733775091,7.136876466075766,,,,,0.0
ar,pseudo,pre_second,S,79,0,0.0,0.0,,,,,6.986343495667327,6.942115480721942,,,,,0.0
ar,pseudo,pre_third,T,80,0,0.0,0.0,,,,,6.896802153026556,6.853900266254954,,,,,0.0
bridge,exact,pre_advance,A,80,0,0.0,0.0,,,,,4.90367088807278,4.873697083215683,,,,,0.0
bridge,exact,pre_second,S,79,0,0.0,0.0,,,,,4.571323844861157,4.54265384858136,,,,,0.0
bridge,exact,pre_third,T,80,0,0.0,0.0,,,,,4.429520821390448,4.4019297631577015,,,,,0.0
bridge,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,4.883513325058257,4.853299396730429,,,,,0.0
bridge,pseudo,pre_second,S,79,0,0.0,0.0,,,,,4.570841796783709,4.542167880186523,,,,,0.0
bridge,pseudo,pre_third,T,80,0,0.0,0.0,,,,,4.426287779520506,4.398694165093339,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,80,1.0,1.0,2.782673460852485,4.46356805928545,8.38770021791417,2.104962685699117,3.799326797466714,3.7842963765530553,0.5562362130886885,0.5540357010359435,0.625,0.8,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,79,1.0,1.0,0.3634050991117498,0.4182857987935525,0.446858283046135,0.6400273183804844,0.6069080737920364,0.6031968268123363,1.0610588284470646,1.0545704465282772,0.810126582278481,0.9113924050632911,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,80,1.0,1.0,0.1285859391591345,0.14108766031182934,0.4919093794689865,0.37921719003166193,0.3728362722851316,0.37380541583642785,1.0144775168201474,1.0171145304812255,0.8375,0.9375,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,2.7814365418676257,4.482837934217012,8.38770021791417,2.1073670497870127,3.797437889982943,3.783621919624948,0.5569708323277464,0.554944441710534,0.6125,0.8125,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,79,1.0,1.0,0.3634064387396486,0.4182861909405291,0.446858283046135,0.6400801489268944,0.6065630930175849,0.6028646023132717,1.0617311855279306,1.0552573282073028,0.810126582278481,0.9113924050632911,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,80,1.0,1.0,0.1285859187852793,0.14108766031182934,0.4919056556005119,0.3792193454629996,0.3727936658753397,0.37376329432439176,1.0145976108982828,1.017236557849158,0.8375,0.9375,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,80,1.0,1.0,1.8805067128651696,3.2683308807043554,6.621257018566167,1.824350457631919,3.7509247137219006,3.728715671238871,0.48927046696102094,0.48637352036364523,0.6,0.75,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,79,1.0,1.0,0.3586664454353085,0.4079914325074125,0.4292506890951503,0.6331587604664901,0.6728951759041084,0.6709665885232214,0.9436516978588378,0.9409470941975054,0.7468354430379747,0.8860759493670886,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,80,1.0,1.0,0.1246816956702528,0.1367390558610496,0.490775350381408,0.3729627867676485,0.37466032343007827,0.3743265980671046,0.9963566273235769,0.9954691314871867,0.8375,0.9375,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,1.8800781581496664,3.274599870011586,6.621257018566167,1.8230240916453262,3.749291830243637,3.7271971140731046,0.4891139469822979,0.48623158030535657,0.6,0.7625,1.0
