model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,DELTA_SA,79,0.6781421206748107,0.4682494597319136,0.0830363873945812,1.0,1.0,0.5316455696202531,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,DELTA_SA,79,0.7182954588874345,0.4981139843812445,-8.351340754924108e-05,1.0592108010820322,0.5886505918118786,0.5316455696202531,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.8400344207902792,0.13796434092086865,0.0,0.9493670886075949,32.51898734177215,0.00010130699317993571,9.535032812175772e-05,0.00043811101966957595,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,0.6054512455570975,0.4448895715918005,0.0727003848915038,0.8928087890405931,0.3870319984164476,0.6329113924050633,0.9113924050632911,33.36708860759494,9.989194396784552e-05,9.499521270320525e-05,0.00035166086402573844,0.0,0.0
midas_umidas,exact,pre_advance,DELTA_SA,79,13.866667467379607,7.93109405552623,0.9838526443098989,20.44802563448066,0.0026899110965452502,0.43037974683544306,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,79,0.5689002079082545,0.4040529310569489,0.04851052822613898,0.8389100021425435,0.08245764667446136,0.620253164556962,0.6962025316455697,36.55696202531646,0.00017252021432935966,9.86380711862205e-05,0.001613098444653662,0.0,0.0
no_revision,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.8400344207902792,0.13796434092086865,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,DELTA_SA,79,0.6416466896223114,0.4275288832410043,-0.008320378652386367,0.9461832115424667,0.7003278430952298,0.5949367088607594,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.6255717358610776,0.43812406880401095,0.08765284507478528,0.9224788090711413,0.5269439513480187,0.620253164556962,1.0,26.126582278481013,9.359531041114083e-05,9.422526647939111e-05,9.956084364457328e-05,0.0,0.0
spf,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.8400344207902792,0.13796434092086865,0.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,DELTA_SA,79,0.6416466896223114,0.4275288832410043,-0.008320378652386367,0.9461832115424667,0.7003278430952298,0.5949367088607594,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,DELTA_TS,79,0.40791620019200964,0.2599709855671533,0.01637946087350748,1.0,1.0,0.6075949367088608,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_second,DELTA_TS,79,0.4916791866250372,0.35909573516181303,0.01926729786961534,1.2053436132068291,0.0004633438481438656,0.620253164556962,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,0.3613823734957444,0.23798607594936708,-0.05443417721518989,0.8859230727429768,0.09095370415119064,0.0,0.9493670886075949,32.59493670886076,0.00022961604718735453,9.549140569375497e-05,0.010629451483777991,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,79,0.3619498486991537,0.2389392363171382,-0.050846818263590596,0.8873142290715123,0.09588475615037069,0.5569620253164557,0.9240506329113924,33.69620253164557,0.00010503563159794754,9.5877113491215e-05,0.0004411561300487482,0.0,0.0
midas_umidas,exact,pre_second,DELTA_TS,79,3.1241130194946414,1.247401789736979,0.001797142332922886,7.658712789597703,0.11676293747631505,0.6835443037974683,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,79,0.3812094656066977,0.2552772240979452,0.005961953510125443,0.9345288699670647,0.41285969209712137,0.569620253164557,0.6835443037974683,36.620253164556964,0.00016149781529214025,9.823958206232308e-05,0.0011338977964339475,0.0,0.0
no_revision,exact,pre_second,DELTA_TS,79,0.3613823734957444,0.23798607594936708,-0.05443417721518989,0.8859230727429768,0.09095370415119064,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_second,DELTA_TS,79,0.3637919631069554,0.2423442573273786,-0.020824138717578166,0.8918301428962992,0.10057888675392872,0.5822784810126582,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,79,0.36145326842675923,0.23816228345036633,-0.050505024995181974,0.886096870525417,0.093576560360576,0.569620253164557,1.0,26.17721518987342,9.316474319061684e-05,9.327890489505376e-05,9.990017226220281e-05,0.0,0.0
spf,exact,pre_second,DELTA_TS,79,0.3613823734957444,0.23798607594936708,-0.05443417721518989,0.8859230727429768,0.09095370415119064,0.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_second,DELTA_TS,79,0.3671373475049814,0.24650353001034286,0.0022413024488946655,0.9000312989093513,0.1299412659711167,0.5822784810126582,1.0,0.0,,,,0.0,0.0
ar,exact,pre_third,DELTA_MT,80,3.661305113769584,2.0325966019767137,0.6233329912021504,1.0,1.0,0.45,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_third,DELTA_MT,80,2.127339925592734,1.5287380986736352,0.02131731344970429,0.5810332270840112,0.14401160637118599,0.4875,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,80,1.3391311900184781,1.0525517602521295,0.14236737423782084,0.365752415711605,0.0898132869414339,0.0,0.95,32.275,9.443352162710895e-05,9.610903215917319e-05,0.0002081019414055477,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,80,1.3415964125207651,1.0550176557520836,0.14410544845420992,0.3664257336749224,0.08999025800171821,0.375,0.925,33.925,0.00010702684752567635,9.526720838139887e-05,0.0004935858370991711,0.0,0.0
midas_umidas,exact,pre_third,DELTA_MT,80,9.241680606582305,6.114797576695234,2.1297528583961105,2.5241492635579097,0.0018790464375095031,0.475,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,80,1.385631315116367,1.0890900464988178,0.18479357267826294,0.3784528390997049,0.09237338593908286,0.4,0.7,36.1125,0.00016828026829191904,9.791627668177138e-05,0.00139222359298811,0.0,0.0
no_revision,exact,pre_third,DELTA_MT,80,1.3391311900184781,1.0525517602521295,0.14236737423782084,0.365752415711605,0.0898132869414339,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_third,DELTA_MT,80,1.4528750809198332,1.1232182901898855,0.7470015565337214,0.3968189035805298,0.10565067806001699,0.5,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,80,1.341439450818619,1.0547846844379092,0.14416578265230276,0.366382863251052,0.08995987909697162,0.425,1.0,25.7375,9.37156496314707e-05,9.392496397603488e-05,9.999327176620232e-05,0.0,0.0
spf,exact,pre_third,DELTA_MT,80,1.3391311900184781,1.0525517602521295,0.14236737423782084,0.365752415711605,0.0898132869414339,0.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_third,DELTA_MT,80,1.4352896528722896,1.1571508892456694,0.4751888167237931,0.39201585453077764,0.10366778225885184,0.45,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_advance,DELTA_SA,79,0.6781421206748107,0.4682494597319136,0.0830363873945812,1.0,1.0,0.5316455696202531,1.0,0.0,,,,0.0,0.0
bridge,pseudo,pre_advance,DELTA_SA,79,0.7221269467369036,0.4993623149432482,0.001677136452128321,1.064860778767619,0.5708985983339634,0.5316455696202531,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.8400344207902792,0.13796434092086865,0.0,0.9493670886075949,32.620253164556964,0.00010034388520888055,9.576981109625289e-05,0.00040118475621018785,0.0,0.0
