timing_mode,checkpoint_id,outcome_id,model_id,mean_squared_error,initial_model_count,final_model_count,n_obs_final_set,alpha,bootstrap_reps,block_length,included_in_mcs_alpha_10pct,elimination_step,p_value_at_elimination,test_stat_at_elimination,last_set_p_value,last_set_test_stat,method_note
exact,pre_advance,A,ar,50.935005692026124,11,10,80,0.1,1000,4,True,,,,0.44555444555444557,1.104335092240052,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,A,bridge,23.752923258945067,11,10,80,0.1,1000,4,True,,,,0.44555444555444557,1.104335092240052,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,A,indicator_revision_only_dfm_kalman_em,12.71331623051908,11,10,80,0.1,1000,4,True,,,,0.44555444555444557,1.104335092240052,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,A,joint_indicator_revision_dfm_full_kalman_em,13.02148776407084,11,10,80,0.1,1000,4,True,,,,0.44555444555444557,1.104335092240052,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,A,midas_umidas,178.66231868152892,11,10,80,0.1,1000,4,False,1.0,0.05094905094905095,2.1318970488342415,0.44555444555444557,1.104335092240052,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,A,monthly_mixed_frequency_kalman_em,13.872916668251241,11,10,80,0.1,1000,4,True,,,,0.44555444555444557,1.104335092240052,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,A,no_revision,52.844801343962686,11,10,80,0.1,1000,4,True,,,,0.44555444555444557,1.104335092240052,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,A,release_dfm,9.399516853073944,11,10,80,0.1,1000,4,True,,,,0.44555444555444557,1.104335092240052,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,A,revision_dfm_kalman_em,11.443242766297661,11,10,80,0.1,1000,4,True,,,,0.44555444555444557,1.104335092240052,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,A,spf,4.950447349625,11,10,80,0.1,1000,4,True,,,,0.44555444555444557,1.104335092240052,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,A,standard_dfm,9.399516853073944,11,10,80,0.1,1000,4,True,,,,0.44555444555444557,1.104335092240052,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,S,ar,48.192967347679236,11,11,79,0.1,1000,4,True,,,,0.14185814185814186,1.482127911740809,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,S,bridge,20.635703988031047,11,11,79,0.1,1000,4,True,,,,0.14185814185814186,1.482127911740809,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,S,indicator_revision_only_dfm_kalman_em,0.3496879316703607,11,11,79,0.1,1000,4,True,,,,0.14185814185814186,1.482127911740809,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,S,joint_indicator_revision_dfm_full_kalman_em,0.39924435592297064,11,11,79,0.1,1000,4,True,,,,0.14185814185814186,1.482127911740809,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,S,midas_umidas,22.756049961171712,11,11,79,0.1,1000,4,True,,,,0.14185814185814186,1.482127911740809,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,S,monthly_mixed_frequency_kalman_em,0.34794904998010917,11,11,79,0.1,1000,4,True,,,,0.14185814185814186,1.482127911740809,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,S,no_revision,0.3245156186075948,11,11,79,0.1,1000,4,True,,,,0.14185814185814186,1.482127911740809,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,S,release_dfm,0.47711925037446684,11,11,79,0.1,1000,4,True,,,,0.14185814185814186,1.482127911740809,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,S,revision_dfm_kalman_em,0.48298455928066547,11,11,79,0.1,1000,4,True,,,,0.14185814185814186,1.482127911740809,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,S,spf,5.463633510886076,11,11,79,0.1,1000,4,True,,,,0.14185814185814186,1.482127911740809,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,S,standard_dfm,8.54618159962461,11,11,79,0.1,1000,4,True,,,,0.14185814185814186,1.482127911740809,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,T,ar,46.97594885976974,11,11,80,0.1,1000,4,True,,,,0.15584415584415584,1.2724077645208267,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,T,bridge,19.376985639773622,11,11,80,0.1,1000,4,True,,,,0.15584415584415584,1.2724077645208267,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,T,indicator_revision_only_dfm_kalman_em,0.13747063989948666,11,11,80,0.1,1000,4,True,,,,0.15584415584415584,1.2724077645208267,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,T,joint_indicator_revision_dfm_full_kalman_em,0.1384742159770941,11,11,80,0.1,1000,4,True,,,,0.15584415584415584,1.2724077645208267,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,T,midas_umidas,38.32217273964339,11,11,80,0.1,1000,4,True,,,,0.15584415584415584,1.2724077645208267,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,T,monthly_mixed_frequency_kalman_em,0.13612372935875908,11,11,80,0.1,1000,4,True,,,,0.15584415584415584,1.2724077645208267,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,T,no_revision,0.13117921475000002,11,11,80,0.1,1000,4,True,,,,0.15584415584415584,1.2724077645208267,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,T,release_dfm,0.19768399853689603,11,11,80,0.1,1000,4,True,,,,0.15584415584415584,1.2724077645208267,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,T,revision_dfm_kalman_em,0.13917622284378095,11,11,80,0.1,1000,4,True,,,,0.15584415584415584,1.2724077645208267,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,T,spf,5.665293039000001,11,11,80,0.1,1000,4,True,,,,0.15584415584415584,1.2724077645208267,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,T,standard_dfm,8.451501884987598,11,11,80,0.1,1000,4,True,,,,0.15584415584415584,1.2724077645208267,Block-bootstrap MCS-style elimination using average squared-loss differentials.
pseudo,pre_advance,A,ar,50.935005692026124,11,10,80,0.1,1000,4,True,,,,0.4745254745254745,1.0885527437142735,Block-bootstrap MCS-style elimination using average squared-loss differentials.
pseudo,pre_advance,A,bridge,23.554515034303932,11,10,80,0.1,1000,4,True,,,,0.4745254745254745,1.0885527437142735,Block-bootstrap MCS-style elimination using average squared-loss differentials.
pseudo,pre_advance,A,indicator_revision_only_dfm_kalman_em,12.71087722298643,11,10,80,0.1,1000,4,True,,,,0.4745254745254745,1.0885527437142735,Block-bootstrap MCS-style elimination using average squared-loss differentials.
pseudo,pre_advance,A,joint_indicator_revision_dfm_full_kalman_em,13.026626354451636,11,10,80,0.1,1000,4,True,,,,0.4745254745254745,1.0885527437142735,Block-bootstrap MCS-style elimination using average squared-loss differentials.
pseudo,pre_advance,A,midas_umidas,183.71019590345148,11,10,80,0.1,1000,4,False,1.0,0.05194805194805195,2.1341287018908486,0.4745254745254745,1.0885527437142735,Block-bootstrap MCS-style elimination using average squared-loss differentials.
