run_group,run_name,failure_rows,run_dir
main,exact_pseudo_backtest_max_iter50,0,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/exact_pseudo_backtest_max_iter50
main,exact_pseudo_backtest_max_iter100,0,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/exact_pseudo_backtest_max_iter100
mature,mature_1y,0,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/exact_pseudo_backtest_mature_1y_max_iter50
mature,mature_3y,0,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/exact_pseudo_backtest_mature_3y_max_iter50
mature,mature_latest,0,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/exact_pseudo_backtest_mature_latest_max_iter50
sensitivity,sensitivity_k2_max_iter100,0,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/sensitivity_k2_max_iter100
sensitivity,sensitivity_k3_max_iter100,0,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/sensitivity_k3_max_iter100
sensitivity,sensitivity_midas_lags4_max_iter100,0,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags4_max_iter100
sensitivity,sensitivity_midas_lags9_max_iter100,0,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/sensitivity_midas_lags9_max_iter100
sensitivity,sensitivity_window_rolling_max_iter100,0,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/sensitivity_window_rolling_max_iter100
sensitivity,sensitivity_exclude_covid_max_iter100,0,<PROJECT_ROOT>/outputs/full_state_space_release_revision_dfm/sensitivity_exclude_covid_max_iter100
