mature_variant,table,timing_mode,checkpoint_id,target_id,best_models,best_RMSE,best_MAE,best_bias,best_relative_RMSFE,best_DM_test,best_sign_accuracy,best_n_forecasts,n_models_compared,structured_family_win,revision_target_id
mature_1y,point,exact,pre_advance,A,spf,2.2249600782092696,1.33806625,0.0324862499999999,0.3117554421440996,0.1817896844347592,0.9375,80,11,False,
mature_1y,point,exact,pre_second,S,no_revision,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,79,11,False,
mature_1y,point,exact,pre_third,T,no_revision,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,80,11,False,
mature_1y,point,pseudo,pre_advance,A,spf,2.2249600782092696,1.33806625,0.0324862499999999,0.3117554421440996,0.1817896844347592,0.9375,80,11,False,
mature_1y,point,pseudo,pre_second,S,no_revision,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,79,11,False,
mature_1y,point,pseudo,pre_third,T,no_revision,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,80,11,False,
mature_1y,revision,exact,pre_advance,,no_revision; spf; indicator_revision_only_dfm_kalman_em,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.8400344207902792,0.1379643409208686,0.0,79,11,False,DELTA_SA
mature_1y,revision,exact,pre_second,,revision_dfm_kalman_em,0.3613388294922605,0.2380455931573627,-0.0505159173941178,0.8858163253192084,0.0933114126193579,0.569620253164557,79,11,True,DELTA_TS
mature_1y,revision,exact,pre_third,,no_revision; spf; indicator_revision_only_dfm_kalman_em,1.0016142136324435,0.4698322611220735,0.2932787972804198,0.2575280557739766,0.0744052685209983,0.0,80,11,False,DELTA_MT
mature_1y,revision,pseudo,pre_advance,,no_revision; spf; indicator_revision_only_dfm_kalman_em,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.8400344207902792,0.1379643409208686,0.0,79,11,False,DELTA_SA
mature_1y,revision,pseudo,pre_second,,revision_dfm_kalman_em,0.3613356130062197,0.2380162655531452,-0.0505438042262621,0.8858084401554437,0.09329406335427,0.569620253164557,79,11,True,DELTA_TS
mature_1y,revision,pseudo,pre_third,,no_revision; spf; indicator_revision_only_dfm_kalman_em,1.0016142136324435,0.4698322611220735,0.2932787972804198,0.2575280557739766,0.0744052685209983,0.0,80,11,False,DELTA_MT
mature_3y,point,exact,pre_advance,A,spf,2.2249600782092696,1.33806625,0.0324862499999999,0.3117554421440996,0.1817896844347592,0.9375,80,11,False,
mature_3y,point,exact,pre_second,S,no_revision,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,79,11,False,
mature_3y,point,exact,pre_third,T,no_revision,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,80,11,False,
mature_3y,point,pseudo,pre_advance,A,spf,2.2249600782092696,1.33806625,0.0324862499999999,0.3117554421440996,0.1817896844347592,0.9375,80,11,False,
mature_3y,point,pseudo,pre_second,S,no_revision,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,79,11,False,
mature_3y,point,pseudo,pre_third,T,no_revision,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,80,11,False,
mature_3y,revision,exact,pre_advance,,no_revision; spf; indicator_revision_only_dfm_kalman_em,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.8400344207902792,0.1379643409208686,0.0,79,11,False,DELTA_SA
mature_3y,revision,exact,pre_second,,no_revision; spf; indicator_revision_only_dfm_kalman_em,0.3613823734957444,0.237986075949367,-0.0544341772151898,0.8859230727429768,0.0909537041511906,0.0,79,11,False,DELTA_TS
mature_3y,revision,exact,pre_third,,no_revision; spf; indicator_revision_only_dfm_kalman_em,1.4105603614137991,1.080717543507795,0.3885897858899106,0.3423742529825959,0.0663006614500962,0.0,74,11,False,DELTA_MT
mature_3y,revision,pseudo,pre_advance,,no_revision; spf; indicator_revision_only_dfm_kalman_em,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.8400344207902792,0.1379643409208686,0.0,79,11,False,DELTA_SA
mature_3y,revision,pseudo,pre_second,,no_revision; spf; indicator_revision_only_dfm_kalman_em,0.3613823734957444,0.237986075949367,-0.0544341772151898,0.8859230727429768,0.0909537041511906,0.0,79,11,False,DELTA_TS
mature_3y,revision,pseudo,pre_third,,no_revision; spf; indicator_revision_only_dfm_kalman_em,1.4105603614137991,1.080717543507795,0.3885897858899106,0.3423742529825959,0.0663006614500962,0.0,74,11,False,DELTA_MT
mature_latest,point,exact,pre_advance,A,spf,2.2249600782092696,1.33806625,0.0324862499999999,0.3117554421440996,0.1817896844347592,0.9375,80,11,False,
mature_latest,point,exact,pre_second,S,no_revision,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,79,11,False,
mature_latest,point,exact,pre_third,T,no_revision,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,80,11,False,
mature_latest,point,pseudo,pre_advance,A,spf,2.2249600782092696,1.33806625,0.0324862499999999,0.3117554421440996,0.1817896844347592,0.9375,80,11,False,
mature_latest,point,pseudo,pre_second,S,no_revision,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,79,11,False,
mature_latest,point,pseudo,pre_third,T,no_revision,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,80,11,False,
mature_latest,revision,exact,pre_advance,,monthly_mixed_frequency_kalman_em,0.5689002079082545,0.4040529310569489,0.0485105282261389,0.8389100021425435,0.0824576466744613,0.620253164556962,79,11,False,DELTA_SA
mature_latest,revision,exact,pre_second,,no_revision; spf; indicator_revision_only_dfm_kalman_em,0.3613823734957444,0.237986075949367,-0.0544341772151898,0.8859230727429768,0.0909537041511906,0.0,79,11,False,DELTA_TS
