model_id,timing_mode,checkpoint_id,revision_target_id,n_runs,run_labels,max_iters,rmse_min,rmse_max,rmse_range,last_run_rmse,last_run_convergence_rate,last_run_median_relative_llf_improvement
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,2,exact_pseudo_backtest_max_iter50;exact_pseudo_backtest_max_iter100,50;100,0.5696627235545563,0.5696627235545563,0.0,0.5696627235545563,1.0,9.299720613540878e-05
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,2,exact_pseudo_backtest_max_iter50;exact_pseudo_backtest_max_iter100,50;100,0.3613823734957444,0.3613823734957444,0.0,0.3613823734957444,1.0,9.52768013226707e-05
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,2,exact_pseudo_backtest_max_iter50;exact_pseudo_backtest_max_iter100,50;100,1.338732745080212,1.338732745080212,0.0,1.338732745080212,1.0,9.415508092185084e-05
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,2,exact_pseudo_backtest_max_iter50;exact_pseudo_backtest_max_iter100,50;100,0.5696627235545563,0.5696627235545563,0.0,0.5696627235545563,1.0,9.329888069006936e-05
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,2,exact_pseudo_backtest_max_iter50;exact_pseudo_backtest_max_iter100,50;100,0.3613823734957444,0.3613823734957444,0.0,0.3613823734957444,1.0,9.53924728726445e-05
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,2,exact_pseudo_backtest_max_iter50;exact_pseudo_backtest_max_iter100,50;100,1.338732745080212,1.338732745080212,0.0,1.338732745080212,1.0,9.419725799083064e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,2,exact_pseudo_backtest_max_iter50;exact_pseudo_backtest_max_iter100,50;100,0.6360088775903596,0.6360147970700665,5.919479706850694e-06,0.6360147970700665,1.0,9.334102970263788e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,2,exact_pseudo_backtest_max_iter50;exact_pseudo_backtest_max_iter100,50;100,0.3619085698634091,0.3619127523783733,4.1825149642016335e-06,0.3619085698634091,1.0,9.353237719235452e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,2,exact_pseudo_backtest_max_iter50;exact_pseudo_backtest_max_iter100,50;100,1.340351269096288,1.3403520041217911,7.350255031290942e-07,1.340351269096288,1.0,9.35223089917508e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,2,exact_pseudo_backtest_max_iter50;exact_pseudo_backtest_max_iter100,50;100,0.6370213186875766,0.6370253358673974,4.017179820792194e-06,0.6370253358673974,1.0,9.34947160591707e-05
