model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,revision_target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
ar,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.15501897663335074,,,not_available,-0.0959000000000001,0.25091897663335083,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,4,0.02
bridge,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.21573358642871376,,,not_available,-0.0959000000000001,0.31163358642871386,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,4,0.02
indicator_revision_only_dfm_kalman_em,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.0,0.41788635555752407,0.6464413009373118,model_implied_state_space,-0.0959000000000001,0.0959000000000001,True,True,47,-3351.7815490700445,-5375.579240485901,-3351.7815490700445,0.2766465755344143,8.250574830275212e-05,47.0,0,{},14,expanding,40,1965:Q3,,4,0.02
joint_indicator_revision_dfm_full_kalman_em,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.5860844007494359,0.3612787077673145,0.601064645248175,model_implied_state_space,-0.0959000000000001,0.681984400749436,True,True,48,-3322.214875151439,-5385.297540851761,-3322.214875151439,0.30141542175306313,9.06917238853309e-05,48.0,0,{},14,expanding,40,1965:Q3,,4,0.02
midas_umidas,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.5496909098372074,,,not_available,-0.0959000000000001,0.6455909098372075,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,4,0.02
monthly_mixed_frequency_kalman_em,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.11075922100108127,0.3746786724935207,0.6121100166583787,model_implied_state_space,-0.0959000000000001,0.20665922100108136,True,True,30,-5981.90197003363,-8025.500464250411,-5981.90197003363,0.5979071422016204,9.992598888191642e-05,30.0,0,{},14,expanding,40,1965:Q3,,4,0.02
no_revision,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.0,,,not_available,-0.0959000000000001,0.0959000000000001,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,4,0.02
release_dfm,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.10152938105514586,,,not_available,-0.0959000000000001,0.19742938105514596,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,4,0.02
revision_dfm_kalman_em,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.02926842167089916,0.4007955688774203,0.6330841720319821,model_implied_state_space,-0.0959000000000001,0.12516842167089925,True,True,28,-1797.0337854098575,-3337.184387163301,-1797.0337854098575,0.16317227976446702,9.074216206778357e-05,28.0,0,{},14,expanding,40,1965:Q3,,4,0.02
standard_dfm,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.10152938105514586,,,not_available,-0.0959000000000001,0.19742938105514596,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,4,0.02
