timing_mode,checkpoint_id,outcome_id,baseline_model,model_id,n_obs,bootstrap_reps,block_length,rmse_diff_baseline_minus_model,rmse_diff_ci_low_95,rmse_diff_ci_high_95,mae_diff_baseline_minus_model,mae_diff_ci_low_95,mae_diff_ci_high_95,positive_diff_interpretation
exact,pre_advance,A,ar,bridge,80,1000,4,2.2631793828600832,-0.33796657897985743,4.12532933082974,0.32847477788214396,-0.23178297563001302,1.166752505514539,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,80,1000,4,3.352580089522711,-1.0194432448048034,6.729060776560111,0.14796246199189111,-0.7908436904754054,1.7406967070802635,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,joint_indicator_revision_dfm_full_kalman_em,80,1000,4,3.4081607948368955,-0.8129188255105068,6.750683260877751,0.2752909352227997,-0.6338921653648819,1.8130949760467796,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,midas_umidas,80,1000,4,-6.229585993434548,-8.63983753349292,-4.648775836263546,-5.735928138187443,-7.749671292083558,-3.9105217592425436,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,monthly_mixed_frequency_kalman_em,80,1000,4,2.570255738249095,-0.6452012672878557,5.297992303473297,0.16985567195083107,-0.4402633255320717,1.2121654850423562,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,no_revision,80,1000,4,-0.1325665211112632,-0.3594523318689374,-0.0020297041254740103,-0.15157174073342272,-0.40405188067967196,0.0019300607283260626,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,release_dfm,80,1000,4,4.071013316312891,-0.2844372380680417,7.374870479159403,0.7760426103811391,-0.10520739816826463,2.11473373518595,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,revision_dfm_kalman_em,80,1000,4,3.676003944878579,-0.4947943125013459,6.9222335118289475,0.5076709428995696,-0.3707934814312085,1.9805062003627396,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,spf,80,1000,4,4.911916387866497,0.04926528405236749,8.910177437767627,1.0639324287197356,0.003702756863035292,2.826978036006298,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,standard_dfm,80,1000,4,4.071013316312891,-0.30659579866508535,7.462965098434694,0.7760426103811391,-0.11251033554646543,2.262607329923119,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,ar,80,1000,4,0.1325665211112632,0.0003766460170106346,0.3553209646500371,0.15157174073342272,-0.006402520030822009,0.4557782454223573,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,bridge,80,1000,4,2.3957459039713465,-0.17346959195003292,4.23324712010673,0.4800465186155667,-0.1504923771423809,1.437601931121561,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,indicator_revision_only_dfm_kalman_em,80,1000,4,3.4851466106339744,-0.9391137864068753,6.904272659643015,0.29953420272531384,-0.7310080279537957,2.0243390975044977,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,joint_indicator_revision_dfm_full_kalman_em,80,1000,4,3.5407273159481587,-0.7710558665612662,6.8044578579652,0.4268626759562224,-0.5604196929110663,1.9914165880703485,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,midas_umidas,80,1000,4,-6.097019472323285,-8.690064790946042,-4.415129795657706,-5.5843563974540205,-7.597864377550955,-3.760965020122532,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,monthly_mixed_frequency_kalman_em,80,1000,4,2.7028222593603584,-0.4963155649846422,5.280504917583358,0.3214274126842538,-0.37705640445578037,1.4668362959234296,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,release_dfm,80,1000,4,4.203579837424154,-0.2163384841999746,7.647549892128635,0.9276143511145618,-0.07968093072287978,2.550109466602651,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,revision_dfm_kalman_em,80,1000,4,3.8085704659898423,-0.42154301606751365,7.059551820538139,0.6592426836329923,-0.3040263646460439,2.181401651467058,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,spf,80,1000,4,5.04448290897776,0.17130889377682276,9.41633300756437,1.2155041694531583,0.07623473102540147,3.279274461348742,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,standard_dfm,80,1000,4,4.203579837424154,-0.2439467151360233,7.648491070814052,0.9276143511145618,-0.08362845627225968,2.5428453843249583,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,ar,80,1000,4,-2.2631793828600832,-4.13454981141235,0.2737728639670214,-0.32847477788214396,-1.186783359903313,0.21453978378623884,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,indicator_revision_only_dfm_kalman_em,80,1000,4,1.089400706662628,-1.1082840378321677,2.6574286221997867,-0.18051231589025285,-0.8209287609126549,0.6716934088694533,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,joint_indicator_revision_dfm_full_kalman_em,80,1000,4,1.1449814119768122,-0.9481195346389719,2.6403022255803714,-0.05318384265934428,-0.6548983045467633,0.7948455922630479,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,midas_umidas,80,1000,4,-8.492765376294631,-11.601003644724615,-5.8370800260489455,-6.064402916069588,-8.274703657431653,-3.9945851854159806,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,monthly_mixed_frequency_kalman_em,80,1000,4,0.3070763553890119,-0.9480053757242719,1.3426847707739016,-0.1586191059313129,-0.525968780416182,0.2207787408289571,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,no_revision,80,1000,4,-2.3957459039713465,-4.235655973625558,0.19490774696237054,-0.4800465186155667,-1.3800558633204627,0.17397434197919978,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,release_dfm,80,1000,4,1.8078339334528075,-0.05229711983108582,3.4396233762443917,0.4475678324989951,0.0231212596999575,1.1599367509328968,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,revision_dfm_kalman_em,80,1000,4,1.4128245620184958,-0.48068985586206003,2.845566511321039,0.17919616501742563,-0.33846488627630605,0.9543241485374272,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,spf,80,1000,4,2.6487370050064136,0.11761441556700175,4.8705046142036865,0.7354576508375916,0.06942484024588243,1.851894891113456,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,standard_dfm,80,1000,4,1.8078339334528075,-0.06176849130853194,3.4192825142725756,0.4475678324989951,0.015334962049983029,1.148491067003621,baseline_has_higher_error_than_model
exact,pre_advance,A,midas_umidas,ar,80,1000,4,6.229585993434548,4.6868329010251335,8.584090417840951,5.735928138187443,3.9351607082796445,7.580586376567219,baseline_has_higher_error_than_model
exact,pre_advance,A,midas_umidas,bridge,80,1000,4,8.492765376294631,5.80253467190377,11.624983649730062,6.064402916069588,3.969796267234376,8.342985976606675,baseline_has_higher_error_than_model
exact,pre_advance,A,midas_umidas,indicator_revision_only_dfm_kalman_em,80,1000,4,9.58216608295726,5.185513251618247,14.0686571925461,5.883890600179335,3.6592084547087125,8.632135448884133,baseline_has_higher_error_than_model
exact,pre_advance,A,midas_umidas,joint_indicator_revision_dfm_full_kalman_em,80,1000,4,9.637746788271443,5.3467234171847675,14.06798836214732,6.011219073410243,3.719655169936015,8.706258588816317,baseline_has_higher_error_than_model
exact,pre_advance,A,midas_umidas,monthly_mixed_frequency_kalman_em,80,1000,4,8.799841731683642,5.55267298477189,12.367218518808846,5.905783810138274,3.8649989055709737,8.322105895948066,baseline_has_higher_error_than_model
exact,pre_advance,A,midas_umidas,no_revision,80,1000,4,6.097019472323285,4.245785724723579,8.52781019854975,5.5843563974540205,3.6558339924478633,7.604536897337223,baseline_has_higher_error_than_model
exact,pre_advance,A,midas_umidas,release_dfm,80,1000,4,10.300599309747438,5.985016052847545,14.61031186384124,6.511970748568582,4.175662748094815,9.140050692914103,baseline_has_higher_error_than_model
exact,pre_advance,A,midas_umidas,revision_dfm_kalman_em,80,1000,4,9.905589938313128,5.632907332511745,14.228565650049791,6.243599081087012,3.8230284302598876,8.791224953643901,baseline_has_higher_error_than_model
exact,pre_advance,A,midas_umidas,spf,80,1000,4,11.141502381301045,6.106919009155893,16.56741276895813,6.799860566907179,4.110325187959442,9.99553228107248,baseline_has_higher_error_than_model
exact,pre_advance,A,midas_umidas,standard_dfm,80,1000,4,10.300599309747438,6.01625739903537,14.850807278287329,6.511970748568582,4.283048048029874,9.175703467926752,baseline_has_higher_error_than_model
exact,pre_advance,A,spf,ar,80,1000,4,-4.911916387866497,-8.94534110046873,-0.08362307122030894,-1.0639324287197356,-2.9070215509610056,-0.039302133207749466,baseline_has_higher_error_than_model
exact,pre_advance,A,spf,bridge,80,1000,4,-2.6487370050064136,-5.095971757587907,-0.11256253816174658,-0.7354576508375916,-1.9482983098096753,-0.0763535790139332,baseline_has_higher_error_than_model
