model_id,checkpoint_id,target_id,exact,pseudo,exact_minus_pseudo_RMSE
ar,pre_advance,A,7.136876466075766,7.136876466075766,0.0
ar,pre_second,S,6.942115480721942,6.942115480721942,0.0
ar,pre_third,T,6.853900266254954,6.853900266254954,0.0
bridge,pre_advance,A,4.873697083215683,4.853299396730429,0.0203976864852544
bridge,pre_second,S,4.54265384858136,4.542167880186523,0.0004859683948374
bridge,pre_third,T,4.4019297631577015,4.398694165093339,0.0032355980643625
indicator_revision_only_dfm_kalman_em,pre_advance,A,3.7842963765530553,3.783621919624948,0.0006744569281069
indicator_revision_only_dfm_kalman_em,pre_second,S,0.6031968268123363,0.6028646023132717,0.0003322244990646
indicator_revision_only_dfm_kalman_em,pre_third,T,0.3738054158364278,0.3737632943243917,4.212151203608627e-05
joint_indicator_revision_dfm_full_kalman_em,pre_advance,A,3.728715671238871,3.7271971140731046,0.0015185571657663
joint_indicator_revision_dfm_full_kalman_em,pre_second,S,0.6709665885232214,0.6706690849996222,0.0002975035235992
joint_indicator_revision_dfm_full_kalman_em,pre_third,T,0.3743265980671046,0.3743331819637936,-6.583896689005275e-06
midas_umidas,pre_advance,A,13.366462459510316,13.55397343598597,-0.1875109764756555
midas_umidas,pre_second,S,4.770330173181986,4.762771639416986,0.0075585337649997
midas_umidas,pre_third,T,6.1904905088081,6.186914482958165,0.0035760258499353
monthly_mixed_frequency_kalman_em,pre_advance,A,4.566620727826671,4.566424041323893,0.000196686502778
monthly_mixed_frequency_kalman_em,pre_second,S,0.6033540462563964,0.6033530522611176,9.939952788640127e-07
monthly_mixed_frequency_kalman_em,pre_third,T,0.370207999738431,0.3679980800032654,0.0022099197351656
no_revision,pre_advance,A,7.26944298718703,7.26944298718703,0.0
no_revision,pre_second,S,0.5696627235545563,0.5696627235545563,0.0
no_revision,pre_third,T,0.3621867125530698,0.3621867125530698,0.0
release_dfm,pre_advance,A,3.0658631497628757,3.051686880620195,0.0141762691426805
release_dfm,pre_second,S,0.6907381923525489,0.6904136306729566,0.0003245616795922
release_dfm,pre_third,T,0.4446166872002175,0.4446354112046444,-1.8724004426873275e-05
revision_dfm_kalman_em,pre_advance,A,3.4608725211971874,3.447817517140285,0.0130550040569024
revision_dfm_kalman_em,pre_second,S,0.6692965351154512,0.6691299943038992,0.0001665408115519
revision_dfm_kalman_em,pre_third,T,0.3746133849950105,0.3745461426519557,6.724234305482968e-05
spf,pre_advance,A,2.2249600782092696,2.2249600782092696,0.0
spf,pre_second,S,2.3374416593545337,2.3374416593545337,0.0
spf,pre_third,T,2.380187605841187,2.380187605841187,0.0
standard_dfm,pre_advance,A,3.0658631497628757,3.051686880620195,0.0141762691426805
standard_dfm,pre_second,S,2.9233852978395793,2.91628596847266,0.0070993293669192
standard_dfm,pre_third,T,2.9071466913431796,2.906128566370332,0.0010181249728473
