model_id,timing_mode,checkpoint_id,outcome_id,n_density_forecasts,mean_log_score,mean_crps,coverage_68,coverage_90,mean_predictive_sd,pit_mean,pit_std,brier_below_zero
ar,exact,pre_advance,DELTA_SA,67,-1.0821039796494922,0.364017857985642,0.8507462686567164,0.9402985074626866,0.7648956778591413,0.4662818071685843,0.23207481933391538,0.2745962749782186
ar,exact,pre_second,DELTA_TS,67,-0.7816245991141392,0.22116498464856163,0.7611940298507462,0.8656716417910447,0.38633474140248364,0.5010548440250238,0.26118255878362745,0.25168574744655275
ar,exact,pre_third,DELTA_MT,62,-3.3273643476028294,1.9350947163276233,0.7419354838709677,0.8709677419354839,2.5798004888942243,0.46016322774461216,0.27802665491703693,0.36025493354821875
ar,pseudo,pre_advance,DELTA_SA,67,-1.0821039796494922,0.364017857985642,0.8507462686567164,0.9402985074626866,0.7648956778591413,0.4662818071685843,0.23207481933391538,0.2745962749782186
ar,pseudo,pre_second,DELTA_TS,67,-0.7816245991141392,0.22116498464856163,0.7611940298507462,0.8656716417910447,0.38633474140248364,0.5010548440250238,0.26118255878362745,0.25168574744655275
ar,pseudo,pre_third,DELTA_MT,62,-3.3273643476028294,1.9350947163276233,0.7419354838709677,0.8709677419354839,2.5798004888942243,0.46016322774461216,0.27802665491703693,0.36025493354821875
bridge,exact,pre_advance,DELTA_SA,67,-1.152814460082281,0.3912687746734345,0.8507462686567164,0.8955223880597015,0.8063619911919397,0.48560046805892804,0.23351645129551024,0.2851070575060028
bridge,exact,pre_second,DELTA_TS,67,-0.775500046159135,0.2735474925531921,0.746268656716418,0.9402985074626866,0.5267716726770005,0.49168701352594574,0.2658841566801419,0.2742888721797511
bridge,exact,pre_third,DELTA_MT,62,-2.2826703132970736,1.1989255797092266,0.6290322580645161,0.8870967741935484,1.8608695651034985,0.5531962129079219,0.29565926850780966,0.28950932444318883
bridge,pseudo,pre_advance,DELTA_SA,67,-1.1614828043504952,0.39313687212249143,0.8656716417910447,0.8955223880597015,0.8137741417439789,0.4844220357373071,0.23242051068036407,0.2841716237715172
bridge,pseudo,pre_second,DELTA_TS,67,-0.7776326232760936,0.2740418031577703,0.746268656716418,0.9402985074626866,0.5262580012471592,0.4918285510119739,0.2663360645774381,0.2742238239959801
bridge,pseudo,pre_third,DELTA_MT,62,-2.2823653952148093,1.1975359464945579,0.6290322580645161,0.8870967741935484,1.8595499725048674,0.5528150801700717,0.2954144112976566,0.28925223316087295
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,-0.8771361965236267,0.30837575028316355,0.8354430379746836,0.9367088607594937,0.6671049531419151,0.542847775595939,0.2340624789080137,0.25
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,-0.41605452970104106,0.18409010434030798,0.8481012658227848,0.9493670886075949,0.3797721611623873,0.559192762064933,0.2346746744862454,0.25
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,74,-1.7712264436613991,0.784844206629983,0.7837837837837838,0.8918918918918919,1.5235760553891105,0.4292396705599046,0.2564518021126334,0.25
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,-0.8770322357921824,0.3083605654199184,0.8354430379746836,0.9367088607594937,0.6670257669455176,0.5428377562467485,0.23407015414099427,0.25
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,-0.41602835930100557,0.18408796592722074,0.8481012658227848,0.9493670886075949,0.3797828162922626,0.5591962873292379,0.23466537048483774,0.25
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,74,-1.7712318348131808,0.7848463350702457,0.7837837837837838,0.8918918918918919,1.5235544249800363,0.42924098473677214,0.2564551822877722,0.25
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,-0.9551807189912916,0.3412907849131736,0.759493670886076,0.9113924050632911,0.6327603939590405,0.4657488883386229,0.2655747127769111,0.2567598191193321
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,79,-0.41708925088246407,0.18397910821230518,0.8481012658227848,0.9493670886075949,0.3735174022478401,0.5570374883787741,0.2379730042473845,0.2502561082460004
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,74,-1.7730162295782894,0.7867316463665897,0.7837837837837838,0.8918918918918919,1.5189684632981288,0.4287502128004215,0.25737525666069533,0.2508426751361507
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,79,-0.9573683309527082,0.3421442246790954,0.759493670886076,0.9113924050632911,0.6327943443665964,0.46529410221800277,0.2660441170805481,0.25761480222518984
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,79,-0.4168136774685953,0.18392794888241593,0.8481012658227848,0.9493670886075949,0.3735204868383232,0.5570212478416083,0.237943100151961,0.25019368618713067
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,74,-1.773094069913273,0.7867535724873205,0.7837837837837838,0.8918918918918919,1.5190812557603772,0.4287310640059217,0.25736424402536445,0.250833557274562
midas_umidas,exact,pre_advance,DELTA_SA,67,-4.064164765840514,6.651982867585456,0.8955223880597015,0.9552238805970149,15.21794736410381,0.45201675279346143,0.18639211524358545,0.29059602785507604
midas_umidas,exact,pre_second,DELTA_TS,67,-4.033143398060923,1.263190301722378,0.8059701492537313,0.8955223880597015,1.9330890761311057,0.4879706472500823,0.23625629213179813,0.26438626237290275
midas_umidas,exact,pre_third,DELTA_MT,62,-5.360673135364043,7.209877499335441,0.6451612903225806,0.7258064516129032,8.825936620438572,0.39365988059464935,0.2797470262182528,0.4082644327894845
midas_umidas,pseudo,pre_advance,DELTA_SA,67,-4.03614891885651,6.376656662917687,0.8656716417910447,0.9552238805970149,14.514302670148913,0.4483806791740335,0.18743544684461177,0.2861551487165553
midas_umidas,pseudo,pre_second,DELTA_TS,67,-4.037161164564724,1.2614013977460705,0.8208955223880597,0.8955223880597015,1.9345331851794665,0.4910074644487104,0.23482078932341885,0.2631425105532626
midas_umidas,pseudo,pre_third,DELTA_MT,62,-5.331614780784467,7.25243254208905,0.6612903225806451,0.7258064516129032,8.876331382203492,0.39241687945001336,0.28071927937046254,0.41489108622683546
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,79,-0.8706877681962456,0.3114313971737879,0.7848101265822784,0.8987341772151899,0.6085161473426484,0.4909977447275306,0.2569087163947469,0.236670549195518
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,79,-0.46715891868215487,0.19388242591410118,0.8607594936708861,0.9240506329113924,0.3883930056038905,0.50882185239452,0.2436177710990611,0.2626498535281313
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,74,-1.8019466215811277,0.8148872708493943,0.7297297297297297,0.8783783783783784,1.5007970482869828,0.420556836807376,0.26506987617244293,0.263790243647045
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,79,-0.8701041283945194,0.3111818756313304,0.7848101265822784,0.8987341772151899,0.6084865198890038,0.49084446318941843,0.25667792354914687,0.23644555006649576
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,79,-0.4652205211308741,0.193364292079144,0.8607594936708861,0.9240506329113924,0.38839432963119835,0.509328657965889,0.2428274332351487,0.2616754409705342
monthly_mixed_frequency_kalman_em,pseudo,pre_third,DELTA_MT,74,-1.8021486409167102,0.8150151215940528,0.7297297297297297,0.8783783783783784,1.5008138930068007,0.42062199552005186,0.2650713558363788,0.2637953244752175
no_revision,exact,pre_advance,DELTA_SA,67,-0.8833654489401548,0.30017969128674454,0.8656716417910447,0.9402985074626866,0.6909088366845302,0.5287086682538995,0.21701794463594232,0.25
no_revision,exact,pre_second,DELTA_TS,67,-0.6440372926656159,0.1968871989272367,0.7611940298507462,0.8656716417910447,0.34370429504138694,0.5712641592238926,0.2650368385420726,0.25
no_revision,exact,pre_third,DELTA_MT,62,-1.8102149097226146,0.8009149957076226,0.7419354838709677,0.8709677419354839,1.375910541628651,0.4298953781393167,0.27648485379843785,0.25
no_revision,pseudo,pre_advance,DELTA_SA,67,-0.8833654489401548,0.30017969128674454,0.8656716417910447,0.9402985074626866,0.6909088366845302,0.5287086682538995,0.21701794463594232,0.25
no_revision,pseudo,pre_second,DELTA_TS,67,-0.6440372926656159,0.1968871989272367,0.7611940298507462,0.8656716417910447,0.34370429504138694,0.5712641592238926,0.2650368385420726,0.25
no_revision,pseudo,pre_third,DELTA_MT,62,-1.8102149097226146,0.8009149957076226,0.7419354838709677,0.8709677419354839,1.375910541628651,0.4298953781393167,0.27648485379843785,0.25
release_dfm,exact,pre_advance,DELTA_SA,67,-1.0404653360891818,0.34174339352357186,0.8507462686567164,0.9253731343283582,0.724981373034357,0.48711528771375867,0.22453860303813977,0.2663422725354556
release_dfm,exact,pre_second,DELTA_TS,67,-0.6377138437505702,0.19788753792200825,0.746268656716418,0.8656716417910447,0.35317571178326634,0.548723469132816,0.26541047250487193,0.2515663166277658
release_dfm,exact,pre_third,DELTA_MT,62,-1.867162991297147,0.8561540515917087,0.7419354838709677,0.8548387096774194,1.4359578463146956,0.3638381691209405,0.2538451444233796,0.2589580958213325
release_dfm,pseudo,pre_advance,DELTA_SA,67,-1.0382242346416566,0.34129160423720106,0.8507462686567164,0.9253731343283582,0.7243429176376879,0.4867914067197313,0.22454774657075202,0.2661128926090903
release_dfm,pseudo,pre_second,DELTA_TS,67,-0.6377465438925689,0.19792774898342982,0.746268656716418,0.8656716417910447,0.3532358585971855,0.5487237494975402,0.26543789674357215,0.2516604778235934
release_dfm,pseudo,pre_third,DELTA_MT,62,-1.8677879877810497,0.8561799786963321,0.7419354838709677,0.8548387096774194,1.4349340172144034,0.363749525729123,0.2538425483899872,0.25904712764873183
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,-0.9693102614539274,0.34054298998011834,0.7974683544303798,0.8987341772151899,0.6519966411555306,0.46377600230599536,0.25295020169310256,0.25504548819739015
