subsample,timing_mode,checkpoint_id,target_id,best_models,best_RMSE,best_MAE,best_bias,best_relative_RMSFE,best_DM_test,best_sign_accuracy,best_n_forecasts,n_models_compared,structured_family_win
full_sample,exact,pre_advance,A,spf,2.2249600782092696,1.3380662499999998,0.03248624999999996,0.3117554421440996,,0.9375,80,11,False
full_sample,exact,pre_second,S,no_revision,0.5696627235545563,0.3997025316455695,-0.0657987341772152,0.08205895236639228,,0.9620253164556962,79,11,False
full_sample,exact,pre_third,T,no_revision,0.36218671255306983,0.24027250000000003,-0.04849250000000001,0.05284388428239744,,1.0,80,11,False
full_sample,pseudo,pre_advance,A,spf,2.2249600782092696,1.3380662499999998,0.03248624999999996,0.3117554421440996,,0.9375,80,11,False
full_sample,pseudo,pre_second,S,no_revision,0.5696627235545563,0.3997025316455695,-0.0657987341772152,0.08205895236639228,,0.9620253164556962,79,11,False
full_sample,pseudo,pre_third,T,no_revision,0.36218671255306983,0.24027250000000003,-0.04849250000000001,0.05284388428239744,,1.0,80,11,False
exclude_pandemic,exact,pre_advance,A,spf,1.6192585097538492,1.1808628205128204,0.1954346153846154,0.8281210722975768,,0.9358974358974359,78,11,False
exclude_pandemic,exact,pre_second,S,no_revision,0.5605800485026388,0.39431818181818185,-0.05211298701298704,0.26086991781125585,,0.961038961038961,77,11,False
exclude_pandemic,exact,pre_third,T,no_revision,0.3625432587804929,0.23753461538461534,-0.04083717948717947,0.16387676376283158,,1.0,78,11,False
exclude_pandemic,pseudo,pre_advance,A,spf,1.6192585097538492,1.1808628205128204,0.1954346153846154,0.8281210722975768,,0.9358974358974359,78,11,False
exclude_pandemic,pseudo,pre_second,S,no_revision,0.5605800485026388,0.39431818181818185,-0.05211298701298704,0.26086991781125585,,0.961038961038961,77,11,False
exclude_pandemic,pseudo,pre_third,T,no_revision,0.3625432587804929,0.23753461538461534,-0.04083717948717947,0.16387676376283158,,1.0,78,11,False
pre_gfc,exact,pre_advance,A,spf,1.090472445777517,0.9954166666666668,0.2669,0.6763057299461294,,1.0,12,11,False
pre_gfc,exact,pre_second,S,release_dfm,0.5799237425980599,0.4658677888008074,-0.0766067184245282,0.33315344082603954,,1.0,12,11,True
pre_gfc,exact,pre_third,T,revision_dfm_kalman_em,0.1842997712570041,0.1432263770514321,-0.001618200986427774,0.10264793501965679,,1.0,12,11,True
pre_gfc,pseudo,pre_advance,A,spf,1.090472445777517,0.9954166666666668,0.2669,0.6763057299461294,,1.0,12,11,False
pre_gfc,pseudo,pre_second,S,release_dfm,0.5799297235755998,0.4658857184294285,-0.0766246480531492,0.3331568767661478,,1.0,12,11,True
pre_gfc,pseudo,pre_third,T,revision_dfm_kalman_em,0.18431803609542088,0.14335073632574868,-0.001483616727353818,0.10265810783720376,,1.0,12,11,True
gfc_and_recovery,exact,pre_advance,A,spf,1.2125790385137198,0.9368464285714285,0.08257500000000002,0.6121474463666379,,0.9285714285714286,28,11,False
gfc_and_recovery,exact,pre_second,S,no_revision,0.7194633225536935,0.5307964285714286,0.07043214285714283,0.315654763137563,,0.9285714285714286,28,11,False
gfc_and_recovery,exact,pre_third,T,no_revision,0.5160822788775339,0.3388357142857142,0.021907142857142885,0.20633400110898856,,1.0,28,11,False
gfc_and_recovery,pseudo,pre_advance,A,spf,1.2125790385137198,0.9368464285714285,0.08257500000000002,0.6121474463666379,,0.9285714285714286,28,11,False
gfc_and_recovery,pseudo,pre_second,S,no_revision,0.7194633225536935,0.5307964285714286,0.07043214285714283,0.315654763137563,,0.9285714285714286,28,11,False
gfc_and_recovery,pseudo,pre_third,T,no_revision,0.5160822788775339,0.3388357142857142,0.021907142857142885,0.20633400110898856,,1.0,28,11,False
post_gfc_pre_pandemic,exact,pre_advance,A,bridge,0.9036902937052268,0.7749245036650768,0.24217260770774351,0.9143631585578671,,1.0,20,11,False
post_gfc_pre_pandemic,exact,pre_second,S,joint_indicator_revision_dfm_full_kalman_em,0.40918197066252854,0.2984633579365223,-0.04292043021403397,0.3200027140378606,,0.9473684210526315,19,11,True
post_gfc_pre_pandemic,exact,pre_third,T,monthly_mixed_frequency_kalman_em,0.2546453713082654,0.21347155948436775,-0.04275688667322322,0.21587429678898773,,1.0,20,11,False
post_gfc_pre_pandemic,pseudo,pre_advance,A,bridge,0.9061057160624423,0.7768237189149421,0.24425699401217948,0.9168071078081566,,1.0,20,11,False
post_gfc_pre_pandemic,pseudo,pre_second,S,joint_indicator_revision_dfm_full_kalman_em,0.4091901503988957,0.29850619262174144,-0.04292234389277105,0.32000911103974555,,0.9473684210526315,19,11,True
post_gfc_pre_pandemic,pseudo,pre_third,T,monthly_mixed_frequency_kalman_em,0.24993410446890718,0.21065225865557924,-0.04564188612482902,0.21188034468726058,,1.0,20,11,False
post_pandemic,exact,pre_advance,A,spf,2.29984381847442,1.9477812499999998,-0.3190812499999999,0.9846512760868334,,0.875,16,11,False
post_pandemic,exact,pre_second,S,no_revision,0.2127538160644833,0.17186249999999997,-0.03735,0.09084048438674777,,1.0,16,11,False
post_pandemic,exact,pre_third,T,release_dfm,0.2382068807509537,0.16942856837208653,-0.01729135478114879,0.10336809040550221,,1.0,16,11,True
post_pandemic,pseudo,pre_advance,A,spf,2.29984381847442,1.9477812499999998,-0.3190812499999999,0.9846512760868334,,0.875,16,11,False
