model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.03488368219251871,1.0,1.0,0.9125,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,A,80,4.873697083215683,2.0735239008375914,-0.08665986755251001,0.6828893713352308,0.20660134570993696,0.9,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,3.8416166333105983,2.238950409743467,0.25317411900447706,0.5382770251903944,0.21291502180254976,0.8875,0.95,32.45,9.709777163589919e-05,9.431967302760141e-05,0.0004122915060068056,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,3.775440616315035,2.0991225794658694,0.08194522251225585,0.5290046190740602,0.20312485253654555,0.8875,0.9,33.6,0.00010238099987053811,9.485565009999643e-05,0.000423565585173686,0.0,0.0
midas_umidas,exact,pre_advance,A,80,13.366462459510315,8.137926816907179,-1.4902070873138527,1.8728728909693326,0.0021819846694521522,0.6125,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,4.6544123991086295,2.212578793443256,0.3025677409268119,0.6521637891916423,0.31537252971651536,0.925,0.65,37.7375,0.00017449365047232315,9.831316216273001e-05,0.0015673077009093572,0.0,0.0
no_revision,exact,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.19438472290895642,1.0185748655930085,0.051114480642453164,0.8875,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,A,80,3.0658631497628757,1.6259560683385963,0.5613778136832768,0.42958052648607076,0.2108819315398011,0.9375,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,A,80,3.5252125705474655,1.8702669827357554,0.1344448121229342,0.4939433360384076,0.19418154486569633,0.95,1.0,26.825,9.448498924111892e-05,9.434983379003135e-05,9.982012002949762e-05,0.0,0.0
spf,exact,pre_advance,A,80,2.2249600782092696,1.33806625,0.03248624999999996,0.3117554421440996,0.1817896844347592,0.9375,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,A,80,3.0658631497628757,1.6259560683385963,0.5613778136832768,0.42958052648607076,0.2108819315398011,0.9375,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,S,79,6.942115480721942,2.4901407735357477,0.04251227511661703,1.0,1.0,0.8987341772151899,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_second,S,79,4.54265384858136,2.0823601603453783,-0.05675651704617028,0.6543616079559872,0.19298013266723918,0.9113924050632911,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,0.598386070005223,0.44718275909404204,-0.01185841522965554,0.08619650186847572,0.15569642315597645,0.9746835443037974,0.9493670886075949,32.87341772151899,0.00023566042904260372,9.463095058050567e-05,0.011043946329809566,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,0.6432477414262302,0.4738692240201316,0.06657476292150354,0.09265874980220525,0.15602565747660027,0.9620253164556962,0.9113924050632911,34.34177215189873,0.00024422228307710526,9.51901609943364e-05,0.01088530899307971,0.0,0.0
midas_umidas,exact,pre_second,S,79,4.770330173181986,2.073561429579366,0.42856838831049837,0.6871579976491399,0.2968302601058723,0.8607594936708861,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,0.6128118351610875,0.40768492988267957,0.0229171583314536,0.08827450895376901,0.15569250275992202,0.9620253164556962,0.6455696202531646,37.44303797468354,0.00015907627132699805,9.84710845507469e-05,0.0011106222178344435,0.0,0.0
no_revision,exact,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.08205895236639228,0.15540264661795927,0.9620253164556962,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_second,S,79,0.6907381923525489,0.44206052629143283,-0.007504839600181486,0.0994996689799686,0.15613889739557096,0.9620253164556962,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,S,79,0.6659583154417236,0.4514179909360922,0.06540671845075119,0.0959301695990323,0.15588856039656585,0.9620253164556962,1.0,27.265822784810126,9.390884020040645e-05,9.408940900462884e-05,9.998581247246948e-05,0.0,0.0
spf,exact,pre_second,S,79,2.3374416593545337,1.447506329113924,-0.03323291139240504,0.3367045198031556,0.1749955397615802,0.9240506329113924,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_second,S,79,2.9233852978395793,1.6559888022137654,0.6257983634253164,0.4211087104439184,0.19840546343088422,0.9240506329113924,1.0,0.0,,,,0.0,0.0
ar,exact,pre_third,T,80,6.853900266254954,2.504536216607909,0.06813531391939998,1.0,1.0,0.9,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_third,T,80,4.4019297631577015,2.034724902716331,-0.03986372387584943,0.642251797101647,0.18519559577147499,0.9,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,0.3718824724146734,0.24281985061582062,-0.0488581044499042,0.05425851821124821,0.1487826824114089,1.0,0.95,32.5875,9.526882474531761e-05,9.587494838861146e-05,0.00021821857581972315,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,0.3724990872233364,0.24640438010553467,-0.03906315119831426,0.0543484837468862,0.14879306991726884,1.0,0.9375,33.825,0.00011005153652597932,9.59068363852962e-05,0.0004723705811758422,0.0,0.0
midas_umidas,exact,pre_third,T,80,6.1904905088081,2.464334501422958,0.360042216092577,0.9032069724280729,0.38667189483686887,0.875,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,0.37250207736796503,0.25035084690342446,0.0016071985337746634,0.05434892001594652,0.14879564910756787,1.0,0.7125,35.9375,0.00016311787794259168,9.7696785848026e-05,0.0013068017884156936,0.0,0.0
no_revision,exact,pre_third,T,80,0.36218671255306983,0.24027250000000003,-0.04849250000000001,0.05284388428239744,0.14872437738793134,1.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_third,T,80,0.4446166872002175,0.28661966943844286,-0.004436688674578854,0.06487060942355394,0.149209923288727,1.0,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_third,T,80,0.3729000050180945,0.24550174654869297,-0.039126408240179066,0.05440697858620156,0.14879357963414183,1.0,1.0,26.3625,9.45382633574773e-05,9.44640821340609e-05,9.989389482669028e-05,0.0,0.0
spf,exact,pre_third,T,80,2.380187605841187,1.481165,-0.0809825000000001,0.3472749111276093,0.17079674079616827,0.925,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_third,T,80,2.9071466913431796,1.6952067512158628,0.626428932902157,0.42415946809971256,0.19323215727097356,0.925,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.03488368219251871,1.0,1.0,0.9125,1.0,0.0,,,,0.0,0.0
bridge,pseudo,pre_advance,A,80,4.853299396730429,2.061680360176223,-0.06262122829072417,0.6800313021809988,0.20780927872741273,0.9,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,3.841304072277881,2.2323885882666716,0.2700563671916122,0.5382332299763112,0.21256592333117597,0.8875,0.9375,32.825,0.00010054993464006097,9.444282258155107e-05,0.00044217450635495817,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,3.7745234714470803,2.0966154783887787,0.08604382830216442,0.5288761111935728,0.20264429774728887,0.8875,0.9,33.7,0.00010069713375458445,9.506734329809296e-05,0.00038968446030917376,0.0,0.0
midas_umidas,pseudo,pre_advance,A,80,13.55397343598597,8.229496807262095,-1.5805326543914464,1.8991464263691626,0.0031455831228358226,0.6125,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,4.654693038502521,2.2188069608347507,0.3073571793229891,0.6522031116312594,0.31535568545465154,0.925,0.65,37.75,0.00017437441043931923,9.799553824616679e-05,0.0015673077009093572,0.0,0.0
no_revision,pseudo,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.19438472290895642,1.0185748655930085,0.051114480642453164,0.8875,1.0,0.0,,,,0.0,0.0
release_dfm,pseudo,pre_advance,A,80,3.051686880620195,1.617840274844697,0.5850074419094152,0.4275941856533457,0.21160616681323619,0.9375,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,pseudo,pre_advance,A,80,3.5125104595245618,1.859973728722108,0.1395302905794648,0.49216355028993886,0.19455089519366844,0.95,1.0,26.8375,9.416178523427097e-05,9.415952319202065e-05,9.98343095390544e-05,0.0,0.0
spf,pseudo,pre_advance,A,80,2.2249600782092696,1.33806625,0.03248624999999996,0.3117554421440996,0.1817896844347592,0.9375,1.0,0.0,,,,0.0,0.0
standard_dfm,pseudo,pre_advance,A,80,3.051686880620195,1.617840274844697,0.5850074419094152,0.4275941856533457,0.21160616681323619,0.9375,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_second,S,79,6.942115480721942,2.4901407735357477,0.04251227511661703,1.0,1.0,0.8987341772151899,1.0,0.0,,,,0.0,0.0
bridge,pseudo,pre_second,S,79,4.542167880186523,2.0691295163901073,-0.05619203697229961,0.654291605030195,0.1916852752037389,0.9113924050632911,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,0.598166283039028,0.4465010569210475,-0.012521708144058443,0.08616484192752466,0.155694011661831,0.9746835443037974,0.9367088607594937,32.74683544303797,0.0002382665650825388,9.498034645865098e-05,0.011043946329809566,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,0.642593916911883,0.4722615283408814,0.0660898189447181,0.09256456748614282,0.15601371541259285,0.9620253164556962,0.9113924050632911,34.177215189873415,0.0002446924189093783,9.480547545323024e-05,0.01088530899307971,0.0,0.0
midas_umidas,pseudo,pre_second,S,79,4.762771639416986,2.056091631828908,0.3916317728814475,0.6860692036372872,0.2949752830466134,0.8734177215189873,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,0.6126367993462436,0.4070970394893049,0.022288434873264366,0.08824929534052245,0.1556905373634873,0.9620253164556962,0.6455696202531646,37.43037974683544,0.00015908823701595658,9.871873220776869e-05,0.0011106222178344435,0.0,0.0
no_revision,pseudo,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.08205895236639228,0.15540264661795927,0.9620253164556962,1.0,0.0,,,,0.0,0.0
release_dfm,pseudo,pre_second,S,79,0.6904136306729566,0.4416792069701228,-0.00793407894825469,0.09945291641866455,0.1561355396190309,0.9620253164556962,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,pseudo,pre_second,S,79,0.6657717731417554,0.4509563102402286,0.06495160059420602,0.09590329849605424,0.15588548649066886,0.9620253164556962,1.0,27.265822784810126,9.391580094055414e-05,9.408940900462884e-05,9.999439979338703e-05,0.0,0.0
spf,pseudo,pre_second,S,79,2.3374416593545337,1.447506329113924,-0.03323291139240504,0.3367045198031556,0.1749955397615802,0.9240506329113924,1.0,0.0,,,,0.0,0.0
standard_dfm,pseudo,pre_second,S,79,2.91628596847266,1.6502216253940645,0.629068819194277,0.42008606404936705,0.1983784451516895,0.9240506329113924,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_third,T,80,6.853900266254954,2.504536216607909,0.06813531391939998,1.0,1.0,0.9,1.0,0.0,,,,0.0,0.0
bridge,pseudo,pre_third,T,80,4.398694165093339,2.023836204423721,-0.03724439196404865,0.6417797158138154,0.18453576972944857,0.9,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,0.3718427536851148,0.24278906652009713,-0.048863874491356166,0.054252723156167804,0.14878241864006037,1.0,0.95,32.5625,9.583977174690468e-05,9.622221707949614e-05,0.00021757661083156852,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,80,0.37248315747186733,0.24635377704339373,-0.03908340081070916,0.05434615955907339,0.14879296297326258,1.0,0.925,34.1125,0.00011474615609077476,9.608737999119242e-05,0.0005277747819020161,0.0,0.0
midas_umidas,pseudo,pre_third,T,80,6.186914482958165,2.466880937795325,0.38281850628535113,0.9026852219340452,0.3847185977534022,0.875,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,0.3717814793333491,0.2502165572110366,0.0005580760610531907,0.05424378308564075,0.1487908740828108,1.0,0.7125,35.95,0.00016671000012465052,9.779997855173398e-05,0.0013068017884156936,0.0,0.0
no_revision,pseudo,pre_third,T,80,0.36218671255306983,0.24027250000000003,-0.04849250000000001,0.05284388428239744,0.14872437738793134,1.0,1.0,0.0,,,,0.0,0.0
release_dfm,pseudo,pre_third,T,80,0.4446354112046444,0.2866479518602379,-0.004369775270577031,0.0648733412993764,0.14921005951916058,1.0,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,pseudo,pre_third,T,80,0.3728179956775779,0.24543632625195616,-0.03916403985372857,0.054395013232559,0.14879303390453327,1.0,1.0,26.3875,9.460019252022823e-05,9.471042479028553e-05,9.989509429593919e-05,0.0,0.0
spf,pseudo,pre_third,T,80,2.380187605841187,1.481165,-0.0809825000000001,0.3472749111276093,0.17079674079616827,0.925,1.0,0.0,,,,0.0,0.0
standard_dfm,pseudo,pre_third,T,80,2.9061285663703322,1.6923315853777292,0.6300497207873997,0.4240109212966813,0.19309716005729083,0.925,1.0,0.0,,,,0.0,0.0
