model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.6773397609913052,0.6781421206748106,,,,,0.0
ar,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.41019163488335636,0.40791620019200964,,,,,0.0
ar,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,3.6306167998755416,3.661305113769584,,,,,0.0
ar,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.6773397609913052,0.6781421206748106,,,,,0.0
ar,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.41019163488335636,0.40791620019200964,,,,,0.0
ar,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,3.6306167998755416,3.661305113769584,,,,,0.0
bridge,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.722885248043382,0.7182954588874345,,,,,0.0
bridge,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.4944408692661488,0.4916791866250371,,,,,0.0
bridge,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,2.140654278584816,2.127339925592734,,,,,0.0
bridge,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.7267392633602563,0.7221269467369036,,,,,0.0
bridge,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.49511434520623226,0.49234421429461056,,,,,0.0
bridge,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,2.138558224909876,2.1252822405256153,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,79,1.0,1.0,0.4020161350006663,0.4414306009994737,0.476613827686263,0.6642388151008095,0.5694656229901923,0.5696627235545563,1.1660212045403313,1.1664247819086517,0.8354430379746836,0.9367088607594937,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,79,1.0,1.0,0.1327281870151365,0.1440750250471081,0.1608030131935114,0.38107560041854915,0.3595420355888921,0.3613823734957444,1.0544941545773445,1.0598916474241666,0.8481012658227848,0.9493670886075949,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,80,80,1.0,1.0,3.855728815591775,4.475186577093761,4.957591291500919,2.0982171736783846,1.339942894998192,1.3391311900184781,1.5668496031740042,1.565900443601528,0.8875,0.975,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,79,1.0,1.0,0.4020165573752567,0.4414306009994737,0.4766157178342256,0.6642197598530992,0.5694656229901923,0.5696627235545563,1.165987754488358,1.1663913202791152,0.8354430379746836,0.9367088607594937,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,79,1.0,1.0,0.1334921344396041,0.1440753073474947,0.1608030131935114,0.38107554521010495,0.3595420355888921,0.3613823734957444,1.0544940018071811,1.0598914938720398,0.8481012658227848,0.9493670886075949,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,80,80,1.0,1.0,3.855729500951876,4.475184623046369,4.957591291500919,2.0982081912251545,1.339942894998192,1.3391311900184781,1.5668428955016738,1.5658937399925432,0.8875,0.975,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,79,1.0,1.0,0.3546050078711182,0.3946138874648071,0.419375033215891,0.6257273238187075,0.6049113446155492,0.6054512455570975,1.0334892006753629,1.0344116197992417,0.7468354430379747,0.8860759493670886,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,79,79,1.0,1.0,0.1290076705173876,0.1407133168357751,0.1552066496954821,0.37525963073253576,0.36065043146108067,0.36194984869915375,1.0367724481201397,1.040507921236278,0.8481012658227848,0.9493670886075949,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,80,80,1.0,1.0,3.865789806776368,4.457520200311405,4.923394860848497,2.0948242577821086,1.3422499734417777,1.3415964125207651,1.5614414575290056,1.5606811691048807,0.875,0.975,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,79,79,1.0,1.0,0.3546050078711182,0.3946138874648071,0.4193747115721082,0.6257901205998121,0.6060576570608432,0.606719153755529,1.031432940144111,1.0325587232651494,0.7468354430379747,0.8860759493670886,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,79,79,1.0,1.0,0.1290483335286778,0.1407102719509392,0.1552066496954821,0.3752674191798371,0.3605785299137082,0.361882326576017,1.0369874172371565,1.040737004695327,0.8481012658227848,0.9493670886075949,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,80,80,1.0,1.0,3.865790733336294,4.457724166691338,4.923394860848497,2.0948117632023155,1.342255875584475,1.341602145799684,1.5614254715981155,1.5606649978642455,0.875,0.975,1.0
midas_umidas,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,13.920103314063764,13.866667467379607,,,,,0.0
midas_umidas,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,3.144075085918269,3.1241130194946414,,,,,0.0
