model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
spf,exact,pre_advance,A,80,2.2249600782092696,1.33806625,0.0324862499999999,0.3117554421440996,0.1817896844347592,0.9375,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,A,80,3.065863149762876,1.6259560683385963,0.5613778136832769,0.4295805264860708,0.2108819315398012,0.9375,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,A,80,3.065863149762876,1.6259560683385963,0.5613778136832769,0.4295805264860708,0.2108819315398012,0.9375,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,A,80,3.3827862430691154,1.8234609227564789,0.1091382109060161,0.4739869408064941,0.1948587460097348,0.9625,1.0,24.575,9.376535119396296e-05,9.298978049113814e-05,9.994443166854442e-05,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,3.565573758950876,2.100779410470352,0.3040050466199193,0.499598637569163,0.206178739357279,0.9125,0.9375,31.4,0.0002394255408976,9.352011572033826e-05,0.0111587145087622,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,3.6085298618787736,1.9831523525743535,0.158646581498617,0.5056175315674106,0.1940852844807515,0.925,0.95,31.5375,0.0001046784284113,9.373895744312506e-05,0.0004770198968378,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,3.724636447796112,1.9789027956418408,0.141547521607576,0.5218860751619699,0.2152012011813016,0.95,0.625,39.675,0.0001237227083153,9.734511730213526e-05,0.0007214360977134,0.0,0.0
bridge,exact,pre_advance,A,80,4.873697083215683,2.0735239008375914,-0.0866598675525098,0.6828893713352308,0.2066013457099369,0.9,1.0,0.0,,,,0.0,0.0
ar,exact,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.0348836821925187,1.0,1.0,0.9125,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.1943847229089564,1.0185748655930085,0.0511144806424531,0.8875,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_advance,A,80,13.366462459511451,8.137926816908715,-1.4902070873137654,1.872872890969492,0.0021819846694475,0.6125,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,1.0,0.0,,,,0.0,0.0
