model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.6773397609913052,0.6781421206748106,,,,,0.0
ar,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.41019163488335636,0.40791620019200964,,,,,0.0
ar,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,3.03075072517081,3.029600437848392,,,,,0.0
ar,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.6773397609913052,0.6781421206748106,,,,,0.0
ar,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.41019163488335636,0.40791620019200964,,,,,0.0
ar,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,3.03075072517081,3.029600437848392,,,,,0.0
bridge,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.7228852480433813,0.7182954588874341,,,,,0.0
bridge,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.49444086926614944,0.4916791866250378,,,,,0.0
bridge,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,1.9785589102983503,1.9681597928674712,,,,,0.0
bridge,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.7267392633602558,0.7221269467369031,,,,,0.0
bridge,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.49511434520623265,0.49234421429461095,,,,,0.0
bridge,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,1.9758259955495,1.9653080627902275,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,79,1.0,1.0,0.4017502483737107,0.4422857756087488,0.4771453360455417,0.6640241141740003,0.5694656229901923,0.5696627235545563,1.165644313236176,1.1660477601567822,0.8354430379746836,0.9367088607594937,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,79,1.0,1.0,0.1331410849229448,0.1438217908923864,0.1605669213906627,0.3807270943631615,0.3595420355888921,0.3613823734957444,1.0535297853082612,1.0589223419719769,0.8481012658227848,0.9493670886075949,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,80,80,1.0,1.0,4.140215049204482,4.544346360018668,5.16759280543335,2.132656760048546,1.3467940527344975,1.338732745080212,1.5930414549774572,1.5835062203597146,0.8875,0.975,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,79,1.0,1.0,0.4017505723894086,0.4422857756087488,0.4771469101315571,0.6639911849990963,0.5694656229901923,0.5696627235545563,1.1655865085501003,1.1659899354636407,0.8354430379746836,0.9367088607594937,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,79,1.0,1.0,0.1331411197073556,0.1438217908923864,0.1605668431605732,0.3807251235913699,0.3595420355888921,0.3613823734957444,1.0535243318829253,1.0589168606329498,0.8481012658227848,0.9493670886075949,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,80,80,1.0,1.0,4.140215009250265,4.544346406358763,5.16759280543335,2.1326638086344984,1.3467940527344975,1.338732745080212,1.593046720095516,1.5835114539631285,0.8875,0.975,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,79,1.0,1.0,0.3279337551037384,0.3906828040043271,0.4145678057160973,0.6205780858164589,0.6356127737196663,0.6360088775903596,0.9757380874424848,0.9763461520522582,0.7088607594936709,0.8860759493670886,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,79,79,1.0,1.0,0.1287573780177066,0.140594900770494,0.1549103121539159,0.3750145551969824,0.3606280777016689,0.3619127523783733,1.0362015506016529,1.0398928380369064,0.8481012658227848,0.9493670886075949,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,80,80,1.0,1.0,4.141397134528666,4.554636115222861,5.159375741713512,2.133890997316283,1.3484592700024023,1.3403520041217911,1.5920377563164272,1.5824660371925667,0.8875,0.9875,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,79,79,1.0,1.0,0.3279337551037384,0.3906677553795257,0.4145613542088844,0.6204379678160646,0.6364353760742026,0.6370213186875766,0.9739673533914409,0.9748640492663738,0.7088607594936709,0.8860759493670886,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,79,79,1.0,1.0,0.1287571413273696,0.140594900770494,0.1549103380173593,0.3750381056829189,0.3606449333830776,0.36192848343923045,1.036221582007346,1.039909536964305,0.8481012658227848,0.9493670886075949,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,80,80,1.0,1.0,4.141398013519337,4.55463556247366,5.159375741713512,2.1338988106918078,1.3484590927552036,1.3403517598318284,1.592043875825212,1.5824720394978946,0.8875,0.9875,1.0
midas_umidas,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,13.920103314067077,13.866667467382854,,,,,0.0
midas_umidas,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,3.1440750859182716,3.1241130194946445,,,,,0.0
