timing_mode,checkpoint_id,outcome_id,baseline_model,model_id,n_obs,bootstrap_reps,block_length,rmse_diff_baseline_minus_model,rmse_diff_ci_low_95,rmse_diff_ci_high_95,mae_diff_baseline_minus_model,mae_diff_ci_low_95,mae_diff_ci_high_95,positive_diff_interpretation
exact,pre_advance,DELTA_SA,ar,bridge,77,1000,4,-0.028579076441097806,-0.11624418026334793,0.05158301245311617,-0.02099534534372377,-0.058797057652824315,0.016459697366904637,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,indicator_revision_only_dfm_kalman_em,77,1000,4,0.05070529585264083,0.0012268898479572475,0.10113493542716731,0.04003362790241566,-0.014497052931298307,0.10795211061226505,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,joint_indicator_revision_dfm_full_kalman_em,77,1000,4,0.02344604271270867,-0.08947065431861025,0.119384042852839,-0.004350016762727782,-0.07195202474162912,0.06515754963146987,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,midas_umidas,77,1000,4,-10.223799361521428,-13.47633409329309,-6.879845562040305,-6.282441525207731,-9.072584874551358,-3.9571358211276575,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,monthly_mixed_frequency_kalman_em,77,1000,4,0.06089916395983519,0.011583098022869548,0.10670793603437845,0.05927537506780983,0.007902180057737528,0.11875225805913481,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,no_revision,77,1000,4,0.05070529585264083,-0.0022043954206427147,0.09865361733994193,0.04003362790241566,-0.01888519430542421,0.10474605726584355,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,release_dfm,77,1000,4,0.039108515290379176,-0.0038126010657983877,0.0767934833273658,0.03254893190823427,-0.004350201111570599,0.0705744909713782,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,revision_dfm_kalman_em,77,1000,4,0.038260190055618204,-0.03775292404916234,0.10704016008083292,0.028428094898419964,-0.02056852909338382,0.09037044956823154,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,spf,77,1000,4,0.05070529585264083,-0.0004122215679010332,0.09875888816518252,0.04003362790241566,-0.012277169889146839,0.10335720350996849,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,standard_dfm,77,1000,4,0.039108515290379176,-0.0034789039297383256,0.0753163089415885,0.03254893190823427,-0.006180737880425526,0.07334273335140613,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,ar,77,1000,4,-0.05070529585264083,-0.09850315594229189,0.005429029938740539,-0.04003362790241566,-0.10341615425263898,0.02295233636336994,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,bridge,77,1000,4,-0.07928437229373864,-0.19954956483862732,0.022623782934648045,-0.06102897324613943,-0.15150404328397718,0.007257918514170336,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,indicator_revision_only_dfm_kalman_em,77,1000,4,0.0,0.0,0.0,0.0,0.0,0.0,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,joint_indicator_revision_dfm_full_kalman_em,77,1000,4,-0.02725925313993216,-0.1402052698795011,0.06464587757611427,-0.04438364466514344,-0.13110834291180937,0.03573242873771387,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,midas_umidas,77,1000,4,-10.274504657374068,-13.566982488947549,-6.788332615308796,-6.322475153110147,-9.019516678242276,-4.068907299378126,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,monthly_mixed_frequency_kalman_em,77,1000,4,0.01019386810719436,-0.022426134939289202,0.046368954999276756,0.019241747165394174,-0.018782602086893103,0.05851009117631794,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,release_dfm,77,1000,4,-0.011596780562261655,-0.06139893422527908,0.03293406741156005,-0.0074846959941813895,-0.049236274364397675,0.026666462081123044,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,revision_dfm_kalman_em,77,1000,4,-0.012445105797022626,-0.08037147364144182,0.042025482793732645,-0.011605533003995694,-0.05621217359010363,0.031509108518884714,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,spf,77,1000,4,0.0,0.0,0.0,0.0,0.0,0.0,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,standard_dfm,77,1000,4,-0.011596780562261655,-0.06332892020263155,0.03409522134311555,-0.0074846959941813895,-0.04860130688000474,0.028751542846093808,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,ar,77,1000,4,0.028579076441097806,-0.05299281052537182,0.11083201353762892,0.02099534534372377,-0.014408131302579544,0.056617941832850856,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,indicator_revision_only_dfm_kalman_em,77,1000,4,0.07928437229373864,-0.024898568360742928,0.19938592547447273,0.06102897324613943,-0.009328003791352357,0.14897359029284668,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,joint_indicator_revision_dfm_full_kalman_em,77,1000,4,0.052025119153806476,-0.06069133913136892,0.17932008711056338,0.01664532858099599,-0.05754792674095709,0.1069520510505813,baseline_has_higher_error_than_model
