model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
no_revision,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.8400344207902792,0.1379643409208686,0.0,1.0,0.0,,,,0.0,0.0
spf,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.8400344207902792,0.1379643409208686,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.8400344207902792,0.1379643409208686,0.0,1.0,31.21518987341772,9.156178887492026e-05,9.292180184479926e-05,9.996942868190014e-05,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.5983519924263453,0.4270038257058169,0.082727440519681,0.8823401086352411,0.3375804044737694,0.6075949367088608,1.0,36.30379746835443,9.550458711131192e-05,9.61024591214077e-05,9.990774401066465e-05,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,0.628405514437119,0.4803071722692177,0.064178930663245,0.9266575475533072,0.5152897991229719,0.5569620253164557,1.0,31.60759493670886,9.120974130783684e-05,9.201010373417928e-05,9.9976482923488e-05,0.0,0.0
standard_dfm,exact,pre_advance,DELTA_SA,79,0.6352273149204831,0.4307100000233205,-0.0010684011067665,0.9367170915270332,0.6181402660586826,0.5949367088607594,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,DELTA_SA,79,0.6352273149204831,0.4307100000233205,-0.0010684011067665,0.9367170915270332,0.6181402660586826,0.5949367088607594,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,79,0.6426698327735796,0.4262822581256965,0.0434491963246472,0.947691955978294,0.6958680162694377,0.620253164556962,1.0,39.88607594936709,9.726103342512618e-05,9.763781876850916e-05,9.99838493151812e-05,0.0,0.0
ar,exact,pre_advance,DELTA_SA,79,0.6781421206748107,0.4682494597319136,0.0830363873945812,1.0,1.0,0.5316455696202531,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,DELTA_SA,79,0.7182954588874341,0.4981139843812444,-8.351340754934227e-05,1.0592108010820316,0.5886505918118834,0.5316455696202531,1.0,0.0,,,,0.0,0.0
