model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
spf,exact,pre_advance,A,80,2.2249600782092696,1.33806625,0.0324862499999999,0.3117554421440996,0.1817896844347592,0.9375,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,A,80,3.1101832707747743,1.6702794376585175,0.2966283723729294,0.4357905430419924,0.2101711992440987,0.925,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,A,80,3.1101832707747743,1.6702794376585175,0.2966283723729294,0.4357905430419924,0.2101711992440987,0.925,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,3.769974495515115,2.1120496282473717,-0.040375398531373,0.5282387208795345,0.2201777248175027,0.9125,1.0,51.925,9.721000060146564e-05,9.723737119389374e-05,9.994710067525444e-05,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,A,80,3.794507389294578,1.984164079108189,0.1279471610975307,0.5316762041953907,0.1880496936015292,0.95,0.975,38.825,9.821010698418443e-05,9.655299879141392e-05,0.0001891375310028,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,4.453767579975633,2.2565069312193393,0.2211247283728165,0.6240499749639846,0.2106206425166685,0.9125,1.0,28.7,8.809842883074336e-05,9.261890954861912e-05,9.989863635449808e-05,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,4.612374919226848,2.212921056418875,0.0700840790308869,0.6462736101922438,0.2024295726575836,0.9125,1.0,29.825,8.996840411006068e-05,9.199993820562588e-05,9.93373563132126e-05,0.0,0.0
bridge,exact,pre_advance,A,80,4.873697083215683,2.0735239008375914,-0.0866598675525098,0.6828893713352308,0.2066013457099369,0.9,1.0,0.0,,,,0.0,0.0
ar,exact,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.0348836821925187,1.0,1.0,0.9125,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.1943847229089564,1.0185748655930085,0.0511144806424531,0.8875,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_advance,A,80,13.366462459511451,8.137926816908715,-1.4902070873137654,1.872872890969492,0.0021819846694475,0.6125,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,0.594107327194403,0.4540015856236239,-0.020352868436939,0.0855801561993922,0.1556695223530476,0.9746835443037974,1.0,28.341772151898738,8.763243818403546e-05,9.142907493686132e-05,9.988302633676722e-05,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,S,79,0.6171724895248861,0.4602883338113822,0.0285316357363964,0.0889026538435951,0.1557930420735733,0.9746835443037974,0.9873417721518988,38.74683544303797,9.701866364921968e-05,9.635517547968522e-05,0.0001785382510593,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,0.6419939444284923,0.4717860878403946,0.0205945566842307,0.0924781424641078,0.1561156154388731,0.9873417721518988,1.0,29.772151898734176,8.962180604206316e-05,9.07429368101832e-05,9.956711762142336e-05,0.0,0.0
release_dfm,exact,pre_second,S,79,0.6928852006794348,0.4980628751397777,0.0115945798619235,0.0998089419001394,0.1562204877031313,0.9746835443037974,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,0.6979436071904094,0.444789575785666,0.0998225604317227,0.1005375968072814,0.156790202136558,0.9620253164556962,1.0,52.79746835443038,9.769298727010448e-05,9.790214211087404e-05,9.996879445991465e-05,0.0,0.0
spf,exact,pre_second,S,79,2.3374416593545337,1.447506329113924,-0.033232911392405,0.3367045198031556,0.1749955397615802,0.9240506329113924,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_second,S,79,2.9084851897204858,1.701164542762179,0.30603108778421,0.4189623750566044,0.1949459722009721,0.9113924050632912,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_second,S,79,4.54265384858136,2.082360160345379,-0.0567565170461708,0.6543616079559872,0.1929801326672391,0.9113924050632912,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_second,S,79,4.770330173182115,2.0735614295798213,0.4285683883102509,0.6871579976491585,0.2968302601058992,0.8607594936708861,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,S,79,6.942115480721942,2.4901407735357477,0.042512275116617,1.0,1.0,0.8987341772151899,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_third,T,80,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,0.3710981970416506,0.2419646090811206,-0.0477432111792219,0.0541440906090719,0.1487785291326943,1.0,1.0,28.1125,8.734470253158809e-05,9.137700983877068e-05,9.981323665303591e-05,0.0,0.0
revision_dfm_kalman_em,exact,pre_third,T,80,0.3721381188740127,0.2469618435383878,-0.0404010010900951,0.0542958176246344,0.1487902750218842,1.0,0.975,38.95,0.0001056196653147,9.641352156068936e-05,0.0007826241086972,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,0.3738426554717644,0.2465298407460347,-0.0384888026476778,0.0545445134812322,0.148802398401829,1.0,1.0,29.6,8.978765988355853e-05,9.161256838077936e-05,9.97892342121174e-05,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,0.3753603443790759,0.2528818455100989,0.0158608352887465,0.0547659478249421,0.1488290845295884,1.0,1.0,52.4,9.785968467778054e-05,9.801356588282226e-05,9.9885798294641e-05,0.0,0.0
release_dfm,exact,pre_third,T,80,0.4641035261633806,0.3194218956578128,0.0073325627781246,0.0677137845802025,0.149429900058682,1.0,1.0,0.0,,,,0.0,0.0
spf,exact,pre_third,T,80,2.380187605841187,1.481165,-0.0809825000000001,0.3472749111276093,0.1707967407961682,0.925,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_third,T,80,2.906679657707941,1.7384441507998172,0.3207806557887802,0.424091326805399,0.1918540848416276,0.8875,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_third,T,80,4.401929763157702,2.034724902716331,-0.0398637238758493,0.6422517971016471,0.1851955957714749,0.9,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_third,T,80,6.190490508808118,2.464334501422888,0.3600422160923934,0.9032069724280756,0.386671894836855,0.875,1.0,0.0,,,,0.0,0.0
ar,exact,pre_third,T,80,6.853900266254954,2.504536216607909,0.0681353139193999,1.0,1.0,0.9,1.0,0.0,,,,0.0,0.0
spf,pseudo,pre_advance,A,80,2.2249600782092696,1.33806625,0.0324862499999999,0.3117554421440996,0.1817896844347592,0.9375,1.0,0.0,,,,0.0,0.0
standard_dfm,pseudo,pre_advance,A,80,3.088406299146455,1.6561313063487757,0.3223360543750553,0.4327392121506938,0.2108535441230696,0.925,1.0,0.0,,,,0.0,0.0
release_dfm,pseudo,pre_advance,A,80,3.088406299146455,1.6561313063487757,0.3223360543750553,0.4327392121506938,0.2108535441230696,0.925,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,3.8025831889047166,2.1152284355430564,-0.0338948966124722,0.5328077635895495,0.2219495567807574,0.9125,1.0,52.0,9.747799233967246e-05,9.749586416499596e-05,9.998927584987744e-05,0.0,0.0
