timing_mode,checkpoint_id,outcome_id,anchor_model,model_id,n_common_forecasts,RMSE,MAE,bias,first_target_quarter,last_target_quarter
exact,pre_advance,A,spf,ar,80,10.72104304228959,3.4011703704033414,-1.1711265950973533,2005:Q1,2024:Q4
exact,pre_advance,A,spf,bridge,80,3.362991299609968,1.836683365630212,0.058741529772414626,2005:Q1,2024:Q4
exact,pre_advance,A,spf,indicator_revision_only_dfm_kalman_em,80,4.665980313680302,2.1553946856271127,0.07555105846125548,2005:Q1,2024:Q4
exact,pre_advance,A,spf,joint_indicator_revision_dfm_full_kalman_em,80,5.422518183252353,2.2559431849181273,-0.19240570320617906,2005:Q1,2024:Q4
exact,pre_advance,A,spf,midas_umidas,80,5.501671454809658,3.184157997785811,0.6503205071504807,2005:Q1,2024:Q4
exact,pre_advance,A,spf,monthly_mixed_frequency_kalman_em,80,4.127346754223465,2.025673723536858,0.5308575067446184,2005:Q1,2024:Q4
exact,pre_advance,A,spf,no_revision,80,14.710645176623602,4.4905598702092675,-1.7562350816714123,2005:Q1,2024:Q4
exact,pre_advance,A,spf,release_dfm,80,3.1621960691878805,1.73249406919753,0.4722232857208805,2005:Q1,2024:Q4
exact,pre_advance,A,spf,revision_dfm_kalman_em,80,3.1555963473886504,1.7513316578364926,0.47202619163628545,2005:Q1,2024:Q4
exact,pre_advance,A,spf,spf,80,2.2249600782092696,1.3380662499999998,0.03248624999999996,2005:Q1,2024:Q4
exact,pre_advance,A,spf,standard_dfm,80,3.1621960691878805,1.73249406919753,0.4722232857208805,2005:Q1,2024:Q4
exact,pre_second,S,spf,ar,79,10.52352274012095,3.721687839399284,-1.3763187874229739,2005:Q1,2024:Q4
exact,pre_second,S,spf,bridge,79,3.143626045612042,1.8324738277903312,0.02378942702553561,2005:Q1,2024:Q4
exact,pre_second,S,spf,indicator_revision_only_dfm_kalman_em,79,0.6153531024990829,0.46005234666177197,-0.027736293669302525,2005:Q1,2024:Q4
exact,pre_second,S,spf,joint_indicator_revision_dfm_full_kalman_em,79,1.4220252610604824,0.6819470671439897,0.05280014180285296,2005:Q1,2024:Q4
exact,pre_second,S,spf,midas_umidas,79,1.2590846818661632,0.9400420981680343,0.12183621808544799,2005:Q1,2024:Q4
exact,pre_second,S,spf,monthly_mixed_frequency_kalman_em,79,0.6418434135064038,0.4444882565897801,0.02916919459528039,2005:Q1,2024:Q4
exact,pre_second,S,spf,no_revision,79,0.5696627235545563,0.3997025316455695,-0.0657987341772152,2005:Q1,2024:Q4
exact,pre_second,S,spf,release_dfm,79,0.7045962087029917,0.4666561692281911,-0.03849373297165302,2005:Q1,2024:Q4
exact,pre_second,S,spf,revision_dfm_kalman_em,79,0.7358455363283256,0.5154101476492555,-0.004447120427357362,2005:Q1,2024:Q4
exact,pre_second,S,spf,spf,79,2.3374416593545337,1.447506329113924,-0.03323291139240504,2005:Q1,2024:Q4
exact,pre_second,S,spf,standard_dfm,79,2.974551504155842,1.7837194132587042,0.4671255860244321,2005:Q1,2024:Q4
