timing_mode,checkpoint_id,outcome_id,model_id,best_model,mean_squared_error,n_obs,test_stat_vs_best,p_value_worse_than_best_one_sided,included_in_proxy_set_alpha_10pct,method_note
exact,pre_advance,A,spf,spf,4.950447349625,80,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,revision_dfm_kalman_em,spf,9.95778830765259,80,1.2424161989178675,0.10704152097579371,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,release_dfm,spf,9.999483979987282,80,1.3824812426163624,0.08341199298724492,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,standard_dfm,spf,9.999483979987282,80,1.3824812426163624,0.08341199298724492,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,bridge,spf,11.309710481252344,80,1.4073588876478003,0.07966049782090653,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,monthly_mixed_frequency_kalman_em,spf,17.03499122959898,80,1.3125588499170056,0.09466582170990027,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,indicator_revision_only_dfm_kalman_em,spf,21.771372287652138,80,1.1715513688667363,0.12068861124677914,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,joint_indicator_revision_dfm_full_kalman_em,spf,29.403703447702405,80,1.1507235660005843,0.12492298914566574,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,midas_umidas,spf,30.268388796667427,80,1.6119130822854328,0.053490427488753864,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,ar,spf,114.94076391462599,80,1.143477968127324,0.12642009852331645,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,no_revision,spf,216.40308151251924,80,1.1522158307336052,0.12461619700135243,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,no_revision,no_revision,0.3245156186075948,79,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,indicator_revision_only_dfm_kalman_em,no_revision,0.37865944075524677,79,1.7213228751322478,0.042596125383061026,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,monthly_mixed_frequency_kalman_em,no_revision,0.41196296746155253,79,0.881437550755929,0.18904052039145425,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,release_dfm,no_revision,0.4964558173186298,79,1.3282567696614829,0.09204664794385434,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,revision_dfm_kalman_em,no_revision,0.5414686533343213,79,1.6776089700956973,0.04671173026137474,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,midas_umidas,no_revision,1.5852942361100175,79,3.236603335188366,0.0006048071125545973,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,joint_indicator_revision_dfm_full_kalman_em,no_revision,2.0221558430941333,79,1.1501661995098065,0.12503771240103326,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,spf,no_revision,5.463633510886076,79,1.8934633773137717,0.02914813703277037,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,standard_dfm,no_revision,8.847956650875782,79,1.777491218939478,0.03774372716024653,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,bridge,no_revision,9.882384714650403,79,1.6629888093028042,0.0481573377920855,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,ar,no_revision,110.74453086184273,79,1.2465572975556762,0.10627993381229295,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,no_revision,no_revision,0.13117921475,80,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,revision_dfm_kalman_em,no_revision,0.13607437454364318,80,1.0200539236420283,0.15385144370589696,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,joint_indicator_revision_dfm_full_kalman_em,no_revision,0.13925726209452502,80,2.1760798931690086,0.014774643555816097,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,monthly_mixed_frequency_kalman_em,no_revision,0.13932493108742708,80,0.9628404343156497,0.16781380285508277,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,indicator_revision_only_dfm_kalman_em,no_revision,0.13935773652581634,80,1.2161062842196435,0.11197221847854698,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,release_dfm,no_revision,0.2830766051737365,80,2.130691715056959,0.01655727403763336,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,midas_umidas,no_revision,2.205889471811319,80,1.5037785932161858,0.06631919242005499,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,spf,no_revision,5.665293039000001,80,1.9858903222953832,0.023522751775780566,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,standard_dfm,no_revision,8.969147717682208,80,1.8592515676655326,0.031495744242255305,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,bridge,no_revision,10.284220933128264,80,1.7430944430970767,0.04065855956241384,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,ar,no_revision,86.56022307922682,80,1.1423544826729015,0.12665335156466212,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,spf,spf,4.950447349625,80,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,release_dfm,spf,9.882394260996765,80,1.3791906456331824,0.0839179907281847,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,standard_dfm,spf,9.882394260996765,80,1.3791906456331824,0.0839179907281847,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,revision_dfm_kalman_em,spf,9.946311876434033,80,1.2418659399510381,0.10714301432503816,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,bridge,spf,11.448097705582787,80,1.4034225710207378,0.08024543312165039,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,monthly_mixed_frequency_kalman_em,spf,17.051592170666773,80,1.3156032215524756,0.09415362586440748,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,indicator_revision_only_dfm_kalman_em,spf,21.789008701934822,80,1.1712507319371148,0.12074900432990267,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,joint_indicator_revision_dfm_full_kalman_em,spf,29.40380663986058,80,1.150210090846641,0.12502867553854613,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,midas_umidas,spf,31.567335265927387,80,1.594534398613692,0.055408196285711704,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,ar,spf,114.94076391462599,80,1.143477968127324,0.12642009852331645,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,no_revision,spf,216.40308151251924,80,1.1522158307336052,0.12461619700135243,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
