model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
spf,exact,pre_advance,A,80,2.2249600782092696,1.33806625,0.0324862499999999,0.2075320534982299,0.1974209910791325,0.9375,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,A,80,3.15559634738865,1.7513316578364926,0.4720261916362854,0.2943366923294004,0.2280634600681794,0.9125,1.0,30.925,8.976483234999115e-05,9.600350568553202e-05,9.994820855196652e-05,0.0,0.0
standard_dfm,exact,pre_advance,A,80,3.1621960691878805,1.73249406919753,0.4722232857208805,0.2949522781239166,0.2139351128629112,0.925,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,A,80,3.1621960691878805,1.73249406919753,0.4722232857208805,0.2949522781239166,0.2139351128629112,0.925,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,A,80,3.362991299609968,1.836683365630212,0.0587415297724146,0.3136813541690404,0.2245673374265958,0.8875,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,4.127346754223465,2.0256737235368583,0.5308575067446185,0.3849762320646394,0.2545336823806459,0.9125,1.0,30.0375,9.45967140082984e-05,9.518150704103978e-05,9.974712917330904e-05,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,4.665980313680302,2.155394685627112,0.0755510584612555,0.4352170115608298,0.2405833494769543,0.925,1.0,23.0875,8.959342337490021e-05,9.27411700866488e-05,9.963475833659464e-05,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,5.422518183252353,2.2559431849181273,-0.1924057032061789,0.5057827080688894,0.2317660124296178,0.9,1.0,29.7625,9.22417086308662e-05,9.534917085464048e-05,9.994197258291042e-05,0.0,0.0
midas_umidas,exact,pre_advance,A,80,5.501671454809658,3.184157997785811,0.6503205071504807,0.5131656904191216,0.3121671115430184,0.8125,1.0,0.0,,,,0.0,0.0
ar,exact,pre_advance,A,80,10.72104304228959,3.401170370403342,-1.1711265950973533,1.0,1.0,0.875,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_advance,A,80,14.710645176623602,4.4905598702092675,-1.7562350816714123,1.372128170607735,0.186716271734894,0.8625,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0541323221911913,0.1292791440771241,0.9620253164556962,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,0.6153531024990829,0.4600523466617719,-0.0277362936693025,0.0584740602263392,0.1294712492517457,0.9746835443037974,1.0,23.21518987341772,8.997323154434423e-05,9.346558125299666e-05,9.991552379900166e-05,0.0,0.0
