model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,revision_target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
ar,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.15501897663335074,,,not_available,-0.0959000000000001,0.25091897663335083,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,5,0.02
bridge,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.21573358642871376,,,not_available,-0.0959000000000001,0.31163358642871386,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,5,0.02
indicator_revision_only_dfm_kalman_em,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.0,0.4178840150108236,0.6464394906028125,model_implied_state_space,-0.0959000000000001,0.0959000000000001,True,True,47,-3351.621466479102,-5386.8317986789,-3351.621466479102,0.2841637354467821,8.475148625897913e-05,47.0,0,{},14,expanding,40,1965:Q3,,5,0.02
joint_indicator_revision_dfm_full_kalman_em,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.5871362015214752,0.3616344414594188,0.6013604921005526,model_implied_state_space,-0.0959000000000001,0.6830362015214753,True,True,48,-3322.2048381300274,-5396.318731230177,-3322.2048381300274,0.28191118340146204,8.482392278521938e-05,48.0,0,{},14,expanding,40,1965:Q3,,5,0.02
midas_umidas,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.5496909098372074,,,not_available,-0.0959000000000001,0.6455909098372075,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,5,0.02
monthly_mixed_frequency_kalman_em,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.11075922100108127,0.3746786724935207,0.6121100166583787,model_implied_state_space,-0.0959000000000001,0.20665922100108136,True,True,30,-5981.90197003363,-8025.500464250411,-5981.90197003363,0.5979071422016204,9.992598888191642e-05,30.0,0,{},14,expanding,40,1965:Q3,,5,0.02
no_revision,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.0,,,not_available,-0.0959000000000001,0.0959000000000001,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,5,0.02
release_dfm,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.10152938105514586,,,not_available,-0.0959000000000001,0.19742938105514596,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,5,0.02
revision_dfm_kalman_em,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.02742161926640918,0.40103342254065044,0.6332719972813029,model_implied_state_space,-0.0959000000000001,0.12332161926640928,True,True,27,-1797.0865637330926,-3317.348411057023,-1797.0865637330926,0.16687815407817652,9.280013049942884e-05,27.0,0,{},14,expanding,40,1965:Q3,,5,0.02
standard_dfm,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.10152938105514586,,,not_available,-0.0959000000000001,0.19742938105514596,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,5,0.02
ar,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.15501897663335074,,,not_available,-0.0959000000000001,0.25091897663335083,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,5,0.02
bridge,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.20644906795161866,,,not_available,-0.0959000000000001,0.30234906795161876,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,5,0.02
indicator_revision_only_dfm_kalman_em,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.0,0.41788357267106147,0.6464391484672486,model_implied_state_space,-0.0959000000000001,0.0959000000000001,True,True,47,-3351.3792289445582,-5386.578907848818,-3351.3792289445582,0.2886543235294994,8.60969035943182e-05,47.0,0,{},14,expanding,40,1965:Q3,,5,0.02
joint_indicator_revision_dfm_full_kalman_em,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.587337330481625,0.3616213821022667,0.6013496338256694,model_implied_state_space,-0.0959000000000001,0.683237330481625,True,True,48,-3321.965082504557,-5396.066036464629,-3321.965082504557,0.2870563676146958,8.63781487588587e-05,48.0,0,{},14,expanding,40,1965:Q3,,5,0.02
midas_umidas,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.24860486732372156,,,not_available,-0.0959000000000001,0.34450486732372165,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,5,0.02
monthly_mixed_frequency_kalman_em,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,DELTA_SA,DELTA_SA,2022:Q1,0.11024703917664969,0.3746811128667389,0.612112010065755,model_implied_state_space,-0.0959000000000001,0.20614703917664978,True,True,30,-5983.494801796293,-8026.848095630857,-5983.494801796293,0.5982077376793313,9.994961427105885e-05,30.0,0,{},14,expanding,40,1965:Q3,,5,0.02
