model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
ar,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,2.91427503282673,,,not_available,3.0876,-0.17332496717326995,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
bridge,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.028159457585212,,,not_available,3.0876,-0.05944054241478813,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
indicator_revision_only_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,5.161155281319662,5.758902864064403,2.399771419128164,model_implied_state_space,3.0876,2.0735552813196616,False,True,26,-1739.150100913467,-2505.940516439159,-1739.150100913467,0.16408933230241018,9.428718861347518e-05,26.0,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,4.761828115922718,4.4170411013054895,2.101675784060303,model_implied_state_space,3.0876,1.674228115922718,False,True,29,-1705.0677205817037,-2515.777266403571,-1705.0677205817037,0.15404109048427017,9.028198675259054e-05,29.0,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
midas_umidas,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,16.786138488141816,,,not_available,3.0876,13.698538488141816,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
monthly_mixed_frequency_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,2.275883389126786,3.685813939876954,1.9198473741099717,model_implied_state_space,3.0876,-0.8117166108732143,False,True,69,-2880.0702833280184,-3648.8287556863907,-2880.0702833280184,0.2660082916195279,9.232115403995451e-05,69.0,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
no_revision,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,2.979208231416087,,,not_available,3.0876,-0.10839176858391308,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
release_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.2440738813846406,,,not_available,3.0876,0.15647388138464047,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
revision_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.0836519185945566,4.2266741820730696,2.055887687125216,model_implied_state_space,3.0876,-0.00394808140544356,False,True,31,-973.2114726503137,-1662.4073345730437,-973.2114726503137,0.09045391188658414,9.283971366632567e-05,31.0,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
spf,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.7623,,,not_available,3.0876,0.6747000000000001,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
standard_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.2440738813846406,,,not_available,3.0876,0.15647388138464047,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
ar,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,A,2005:Q1,2.91427503282673,,,not_available,3.0876,-0.17332496717326995,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
bridge,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,A,2005:Q1,3.028159457585212,,,not_available,3.0876,-0.05944054241478813,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,2020:Q2;2020:Q3,,0.0
