model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,A,78,1.955340304602206,1.3819824279816235,0.23181747775136374,1.0,1.0,0.9230769230769231,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,A,78,1.9583557645187113,1.417030392838733,0.06181700099440615,1.0015421662967863,0.9883410446240181,0.9102564102564102,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,78,2.34248208137426,1.7670633191707539,0.5174541448222418,1.197992020039097,0.07803395980954003,0.9102564102564102,1.0,31.602564102564102,8.963477401155083e-05,9.288089958204036e-05,9.972064680541779e-05,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,78,2.1747863557270963,1.6326776758079717,0.3997937956394553,1.112229083913623,0.24035064608916035,0.9230769230769231,1.0,31.858974358974358,9.144731259812873e-05,9.349515981699839e-05,9.968050670793468e-05,0.0,0.0
midas_umidas,exact,pre_advance,A,78,8.970865471343489,6.723347847274693,-1.5398357117021861,4.587879383567721,1.2059591611365977e-08,0.6282051282051282,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,78,2.1800764082366157,1.5465382541047106,0.2187321256956401,1.1149345221931228,0.4952711153097017,0.9487179487179487,1.0,42.1025641025641,9.42568063398601e-05,9.564925750676356e-05,9.992598888191642e-05,0.0,0.0
no_revision,exact,pre_advance,A,78,2.2441904220672404,1.5303452188106645,0.07509322003391684,1.1477237066024668,0.08179521993002394,0.8974358974358975,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,A,78,1.8079609698245875,1.2652601962914358,0.5375055241343129,0.9246272710531576,0.5705497504155539,0.9358974358974359,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,A,78,1.9164919137375647,1.4320309019750728,0.23340896728387364,0.9801321586972839,0.8498434758692839,0.9615384615384616,1.0,24.474358974358974,9.381062033197602e-05,9.300967313762625e-05,9.994443166854442e-05,0.0,0.0
spf,exact,pre_advance,A,78,1.619258509753849,1.1808628205128204,0.1954346153846154,0.8281210722975767,0.07349929775489543,0.9358974358974359,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,A,78,1.8079609698245875,1.2652601962914358,0.5375055241343129,0.9246272710531576,0.5705497504155539,0.9358974358974359,1.0,0.0,,,,0.0,0.0
