timing_mode,checkpoint_id,outcome_id,baseline_model,model_id,n_obs,bootstrap_reps,block_length,rmse_diff_baseline_minus_model,rmse_diff_ci_low_95,rmse_diff_ci_high_95,mae_diff_baseline_minus_model,mae_diff_ci_low_95,mae_diff_ci_high_95,positive_diff_interpretation
exact,pre_advance,A,ar,bridge,78,1000,4,-0.003015459916505314,-0.43404783739716224,0.4723902227932968,-0.03504796485710959,-0.34088090759670703,0.3017077619571842,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,78,1000,4,-0.3871417767720542,-0.7813386516787195,0.012016122505765392,-0.38508089118913036,-0.6484529378068594,-0.1459981490247351,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,joint_indicator_revision_dfm_full_kalman_em,78,1000,4,-0.21944605112489035,-0.5595918529524218,0.07685606877782972,-0.2506952478263482,-0.47622037952728274,-0.0368082063214193,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,midas_umidas,78,1000,4,-7.015525166741281,-8.823308453367822,-5.000281901097434,-5.341365419293069,-7.2390909684162335,-3.530528157052644,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,monthly_mixed_frequency_kalman_em,78,1000,4,-0.22473610363440977,-0.715951210167158,0.3346359340222622,-0.16455582612308706,-0.4699541102248995,0.14320092926538636,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,no_revision,78,1000,4,-0.2888501174650344,-0.6595031464310088,-0.0009950466930618552,-0.14836279082904102,-0.40364902548681453,0.0023117597611660794,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,release_dfm,78,1000,4,0.14737933477761844,-0.40545549813220294,0.7204344923262422,0.1167222316901877,-0.1830751628354482,0.4672446667704736,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,revision_dfm_kalman_em,78,1000,4,0.03884839086464131,-0.3733550090569722,0.42512144551470765,-0.05004847399344925,-0.2960549323623019,0.19654475960505738,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,spf,78,1000,4,0.33608179484835676,-0.01633087130522327,0.7432937126356997,0.20111960746880309,-0.061923304226050156,0.4991509350803098,baseline_has_higher_error_than_model
exact,pre_advance,A,ar,standard_dfm,78,1000,4,0.14737933477761844,-0.423326815146321,0.7511261055821475,0.1167222316901877,-0.20753985398600105,0.4829226585039136,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,ar,78,1000,4,0.2888501174650344,-0.0013323813088882417,0.709281166340123,0.14836279082904102,-0.007320497890454541,0.4326329094200181,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,bridge,78,1000,4,0.2858346575485291,-0.24234137940276165,0.8331909853619662,0.11331482597193143,-0.22409707130547532,0.5047235163094415,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,indicator_revision_only_dfm_kalman_em,78,1000,4,-0.09829165930701977,-0.7262919698341282,0.5848537476785943,-0.23671810036008933,-0.5700281312170454,0.18190688335138774,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,joint_indicator_revision_dfm_full_kalman_em,78,1000,4,0.06940406634014407,-0.5102397027630864,0.6205397543025083,-0.1023324569973072,-0.4065213378429881,0.21685928696995668,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,midas_umidas,78,1000,4,-6.726675049276246,-8.906877540043082,-4.538564736455034,-5.193002628464028,-7.315254464438791,-3.296130759693659,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,monthly_mixed_frequency_kalman_em,78,1000,4,0.06411401383062465,-0.3816180811305577,0.4885234527411513,-0.016193035294046032,-0.3340629724946642,0.33149584908198615,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,release_dfm,78,1000,4,0.43622945224265286,-0.30032666545993053,1.166665724795912,0.2650850225192287,-0.11600219885239148,0.7682287914665554,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,revision_dfm_kalman_em,78,1000,4,0.32769850832967573,-0.30212148875928463,0.9488112878336863,0.09831431683559178,-0.22403878344988262,0.4642810123163933,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,spf,78,1000,4,0.6249319123133912,0.10940620295587626,1.1059143066186823,0.3494823982978441,0.03420118053919335,0.7511724274702962,baseline_has_higher_error_than_model
exact,pre_advance,A,no_revision,standard_dfm,78,1000,4,0.43622945224265286,-0.2985757931178144,1.1738598593043743,0.2650850225192287,-0.1252445315461099,0.736915220320896,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,ar,78,1000,4,0.003015459916505314,-0.454997591095835,0.40355953402198863,0.03504796485710959,-0.2645952537714403,0.33227077777329594,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,indicator_revision_only_dfm_kalman_em,78,1000,4,-0.3841263168555489,-0.8228125892795033,0.03272081896331451,-0.35003292633202077,-0.6447175240270065,-0.08326259558727095,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,joint_indicator_revision_dfm_full_kalman_em,78,1000,4,-0.21643059120838504,-0.5549562353001722,0.10923425049977128,-0.21564728296923863,-0.4376008739593195,0.02053383134858197,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,midas_umidas,78,1000,4,-7.012509706824775,-8.852655703642432,-5.070947242839023,-5.306317454435959,-7.1629548380423005,-3.5363366546028923,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,monthly_mixed_frequency_kalman_em,78,1000,4,-0.22172064371790445,-0.6532558430752881,0.1872382454453362,-0.12950786126597746,-0.37215976589551575,0.11352516305360126,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,no_revision,78,1000,4,-0.2858346575485291,-0.8409696110461466,0.2741485605842751,-0.11331482597193143,-0.5219916417321918,0.2378813706138235,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,release_dfm,78,1000,4,0.15039479469412376,-0.09197802536526149,0.4339448506103437,0.1517701965472973,-0.013503257309541111,0.32749205624375344,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,revision_dfm_kalman_em,78,1000,4,0.04186385078114663,-0.24741463624955928,0.37438963544997844,-0.015000509136339657,-0.2215063793635624,0.19438722534084424,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,spf,78,1000,4,0.3390972547648621,0.0597139563518208,0.6157073984377947,0.23616757232591268,-0.0004387855320662756,0.4634324220543304,baseline_has_higher_error_than_model
exact,pre_advance,A,bridge,standard_dfm,78,1000,4,0.15039479469412376,-0.1036405921841143,0.43051924707919587,0.1517701965472973,-0.026875427407782822,0.32007447934967703,baseline_has_higher_error_than_model
