table,model_id,timing_mode,checkpoint_id,outcome_id,n_forecasts,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,RMSE,MAE,bias
point,ar,exact,pre_advance,A,80,1.0,0.0,,,,7.136876466075766,2.4019986787197354,-0.0348836821925187
point,bridge,exact,pre_advance,A,80,1.0,0.0,,,,4.873697083215683,2.0735239008375914,-0.0866598675525098
point,indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,1.0,31.2125,9.166404843391968e-05,9.313976462008604e-05,9.996942868190014e-05,4.136723566860889,2.22483509009733,0.2485602883204652
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,1.0,31.625,9.114841974164456e-05,9.195480256159172e-05,9.9976482923488e-05,4.267847129023608,2.195842255871435,0.2264191737469107
point,midas_umidas,exact,pre_advance,A,80,1.0,0.0,,,,13.366462459511451,8.137926816908715,-1.4902070873137654
point,monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,1.0,39.875,9.728673402157276e-05,9.771115978313e-05,9.99838493151812e-05,3.8453838361695065,2.004934265106768,0.0783813550705678
point,no_revision,exact,pre_advance,A,80,1.0,0.0,,,,7.26944298718703,2.553570419453158,-0.1943847229089564
point,release_dfm,exact,pre_advance,A,80,1.0,0.0,,,,3.194760140861379,1.6565922345344348,0.3676088540576196
point,revision_dfm_kalman_em,exact,pre_advance,A,80,1.0,36.1625,9.552467237216373e-05,9.613791834120011e-05,9.990774401066465e-05,3.639333226478213,1.92985700373448,0.1302292483146491
point,spf,exact,pre_advance,A,80,1.0,0.0,,,,2.2249600782092696,1.33806625,0.0324862499999999
point,standard_dfm,exact,pre_advance,A,80,1.0,0.0,,,,3.194760140861379,1.6565922345344348,0.3676088540576196
point,ar,exact,pre_second,S,79,1.0,0.0,,,,6.942115480721942,2.4901407735357477,0.042512275116617
point,bridge,exact,pre_second,S,79,1.0,0.0,,,,4.54265384858136,2.082360160345379,-0.0567565170461708
point,indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,1.0,30.746835443037973,9.263411298983442e-05,9.31344164786654e-05,9.983241252472536e-05,0.5979600796066222,0.4657728870268673,-0.0175095040551306
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,1.0,31.82278481012658,9.153126194807977e-05,9.20306187121551e-05,9.990929574622046e-05,0.6622923059327115,0.4882591379762814,0.0248659834760016
point,midas_umidas,exact,pre_second,S,79,1.0,0.0,,,,4.770330173182115,2.0735614295798213,0.4285683883102509
point,monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,1.0,39.49367088607595,9.710951443869116e-05,9.737373165522986e-05,9.999453758722467e-05,0.735566461801259,0.4622543369352713,0.0925278925273138
point,no_revision,exact,pre_second,S,79,1.0,0.0,,,,0.5696627235545563,0.3997025316455696,-0.0657987341772151
point,release_dfm,exact,pre_second,S,79,1.0,0.0,,,,0.6628781136263021,0.457056328547914,-0.0116119462646765
point,revision_dfm_kalman_em,exact,pre_second,S,79,1.0,34.721518987341774,9.537107575999026e-05,9.584327186918316e-05,9.982291906049372e-05,0.632044992298464,0.449349644738919,0.0642881964731321
point,spf,exact,pre_second,S,79,1.0,0.0,,,,2.3374416593545337,1.447506329113924,-0.033232911392405
point,standard_dfm,exact,pre_second,S,79,1.0,0.0,,,,3.0468443239571013,1.709680090554197,0.4264927417658385
point,ar,exact,pre_third,T,80,1.0,0.0,,,,6.853900266254954,2.504536216607909,0.0681353139193999
point,bridge,exact,pre_third,T,80,1.0,0.0,,,,4.401929763157702,2.034724902716331,-0.0398637238758493
point,indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,1.0,30.6125,9.240740225633756e-05,9.355785774099046e-05,9.987629651028802e-05,0.3697870814143022,0.2414878686209594,-0.0484411788986062
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,1.0,31.425,9.153522166525398e-05,9.308404620191686e-05,9.99572538723418e-05,0.3724784896802396,0.2470453309926989,-0.0410789260504835
point,midas_umidas,exact,pre_third,T,80,1.0,0.0,,,,6.190490508808118,2.464334501422888,0.3600422160923934
point,monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,1.0,39.025,9.731653573356308e-05,9.78342824685252e-05,9.998084912168654e-05,0.3780040019297633,0.2593436901557943,0.0108167885110842
point,no_revision,exact,pre_third,T,80,1.0,0.0,,,,0.3621867125530698,0.2402725,-0.0484925
point,release_dfm,exact,pre_third,T,80,1.0,0.0,,,,0.4449386568465726,0.2946584266383597,-0.0272952668462236
point,revision_dfm_kalman_em,exact,pre_third,T,80,1.0,34.3125,9.54149676731776e-05,9.60628400675017e-05,9.995555750809928e-05,0.3712150715058359,0.2437538083519409,-0.0397413412993032
point,spf,exact,pre_third,T,80,1.0,0.0,,,,2.380187605841187,1.481165,-0.0809825000000001
point,standard_dfm,exact,pre_third,T,80,1.0,0.0,,,,3.0647403141915657,1.7678241753718509,0.4032866624740903
point,ar,pseudo,pre_advance,A,80,1.0,0.0,,,,7.136876466075766,2.4019986787197354,-0.0348836821925187
point,bridge,pseudo,pre_advance,A,80,1.0,0.0,,,,4.853299396730428,2.061680360176223,-0.062621228290724
point,indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,1.0,31.175,9.137472265834564e-05,9.267935800269278e-05,9.968497096590474e-05,4.302847033577626,2.26144715389301,0.278566819525814
point,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,1.0,31.5875,9.124364075996168e-05,9.202607997041624e-05,9.998324235689236e-05,4.358241375602768,2.21074144480701,0.2363283588227084
point,midas_umidas,pseudo,pre_advance,A,80,1.0,0.0,,,,13.553973435987375,8.229496807263976,-1.5805326543917773
point,monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,1.0,39.875,9.726747746382176e-05,9.775622062467774e-05,9.990634722398778e-05,3.840660479072561,2.0066296836328816,0.0810430017733004
point,no_revision,pseudo,pre_advance,A,80,1.0,0.0,,,,7.26944298718703,2.553570419453158,-0.1943847229089564
point,release_dfm,pseudo,pre_advance,A,80,1.0,0.0,,,,3.1695463952973704,1.6452252816423687,0.3926535491417916
point,revision_dfm_kalman_em,pseudo,pre_advance,A,80,1.0,35.675,9.558946875449758e-05,9.613791834120011e-05,9.979674714793725e-05,3.6481590982840553,1.927110763035008,0.1314992579138276
point,spf,pseudo,pre_advance,A,80,1.0,0.0,,,,2.2249600782092696,1.33806625,0.0324862499999999
point,standard_dfm,pseudo,pre_advance,A,80,1.0,0.0,,,,3.1695463952973704,1.6452252816423687,0.3926535491417916
point,ar,pseudo,pre_second,S,79,1.0,0.0,,,,6.942115480721942,2.4901407735357477,0.042512275116617
point,bridge,pseudo,pre_second,S,79,1.0,0.0,,,,4.542167880186523,2.069129516390108,-0.0561920369722996
point,indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,1.0,30.367088607594937,9.21712356868063e-05,9.287026954974816e-05,9.958412568943588e-05,0.5976291474942136,0.4654943102161308,-0.0172414422254794
point,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,1.0,31.70886075949367,9.049006299849198e-05,9.059955096485514e-05,9.990929574622046e-05,0.6638321295288722,0.4912688942580796,0.0198131604912693
point,midas_umidas,pseudo,pre_second,S,79,1.0,0.0,,,,4.7627716394170765,2.056091631829284,0.3916317728813315
point,monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,1.0,39.45569620253165,9.703038352007484e-05,9.715680947839254e-05,9.999453758722467e-05,0.6987496749217682,0.4535711280586722,0.0838168040583745
point,no_revision,pseudo,pre_second,S,79,1.0,0.0,,,,0.5696627235545563,0.3997025316455696,-0.0657987341772151
point,release_dfm,pseudo,pre_second,S,79,1.0,0.0,,,,0.6626124334035719,0.4556607449820259,-0.0126126474276824
point,revision_dfm_kalman_em,pseudo,pre_second,S,79,1.0,34.67088607594937,9.559117144524185e-05,9.618218682141733e-05,9.9984314267327e-05,0.6320815561970182,0.448368149028374,0.065960649206308
point,spf,pseudo,pre_second,S,79,1.0,0.0,,,,2.3374416593545337,1.447506329113924,-0.033232911392405
point,standard_dfm,pseudo,pre_second,S,79,1.0,0.0,,,,3.036026101767458,1.70838460952175,0.4309040740688657
point,ar,pseudo,pre_third,T,80,1.0,0.0,,,,6.853900266254954,2.504536216607909,0.0681353139193999
point,bridge,pseudo,pre_third,T,80,1.0,0.0,,,,4.398694165093339,2.023836204423721,-0.0372443919640485
point,indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,1.0,30.7375,9.196325766577144e-05,9.357139112497868e-05,9.990899557913592e-05,0.3697005237431149,0.2414158673565372,-0.0484698477905532
point,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,80,1.0,31.5125,9.143457775560783e-05,9.260864674664652e-05,9.99572538723418e-05,0.3724001668270641,0.2469441704552898,-0.0411387360314275
point,midas_umidas,pseudo,pre_third,T,80,1.0,0.0,,,,6.186914482958172,2.466880937795282,0.3828185062852088
point,monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,1.0,38.9875,9.726371888907196e-05,9.768075350998612e-05,9.994810030927345e-05,0.3763012586503951,0.2578960672677968,0.0096795159339667
point,no_revision,pseudo,pre_third,T,80,1.0,0.0,,,,0.3621867125530698,0.2402725,-0.0484925
point,release_dfm,pseudo,pre_third,T,80,1.0,0.0,,,,0.4447196681235479,0.2943689263300069,-0.0267416423428477
point,revision_dfm_kalman_em,pseudo,pre_third,T,80,1.0,34.3,9.541152825951004e-05,9.601592118715175e-05,9.995555750809928e-05,0.3711892830928185,0.2437559196006765,-0.0396963344146635
point,spf,pseudo,pre_third,T,80,1.0,0.0,,,,2.380187605841187,1.481165,-0.0809825000000001
point,standard_dfm,pseudo,pre_third,T,80,1.0,0.0,,,,3.065249493169764,1.7621663144237174,0.4110387453503057
revision,ar,exact,pre_advance,DELTA_SA,79,1.0,0.0,,,,0.6781421206748107,0.4682494597319136,0.0830363873945812
revision,bridge,exact,pre_advance,DELTA_SA,79,1.0,0.0,,,,0.7182954588874341,0.4981139843812444,-8.351340754934227e-05
revision,indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,1.0,31.21518987341772,9.156178887492026e-05,9.292180184479926e-05,9.996942868190014e-05,0.5696627235545563,0.3997025316455696,-0.0657987341772151
revision,joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,1.0,31.60759493670886,9.120974130783684e-05,9.201010373417928e-05,9.9976482923488e-05,0.628405514437119,0.4803071722692177,0.064178930663245
revision,midas_umidas,exact,pre_advance,DELTA_SA,79,1.0,0.0,,,,13.866667467382854,7.931094055528306,0.9838526443093488
revision,monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,79,1.0,39.88607594936709,9.726103342512618e-05,9.763781876850916e-05,9.99838493151812e-05,0.6426698327735796,0.4262822581256965,0.0434491963246472
revision,no_revision,exact,pre_advance,DELTA_SA,79,1.0,0.0,,,,0.5696627235545563,0.3997025316455696,-0.0657987341772151
revision,release_dfm,exact,pre_advance,DELTA_SA,79,1.0,0.0,,,,0.6352273149204831,0.4307100000233205,-0.0010684011067665
revision,revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,1.0,36.30379746835443,9.550458711131192e-05,9.61024591214077e-05,9.990774401066465e-05,0.5983519924263453,0.4270038257058169,0.082727440519681
revision,spf,exact,pre_advance,DELTA_SA,79,1.0,0.0,,,,0.5696627235545563,0.3997025316455696,-0.0657987341772151
revision,standard_dfm,exact,pre_advance,DELTA_SA,79,1.0,0.0,,,,0.6352273149204831,0.4307100000233205,-0.0010684011067665
revision,ar,exact,pre_second,DELTA_TS,79,1.0,0.0,,,,0.4079162001920096,0.2599709855671533,0.0163794608735074
revision,bridge,exact,pre_second,DELTA_TS,79,1.0,0.0,,,,0.4916791866250378,0.3590957351618138,0.0192672978696157
revision,indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,1.0,30.746835443037973,9.263411298983442e-05,9.31344164786654e-05,9.983241252472536e-05,0.3613823734957444,0.237986075949367,-0.0544341772151898
revision,joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,79,1.0,31.82278481012658,9.153126194807977e-05,9.20306187121551e-05,9.990929574622046e-05,0.3615737004275702,0.2390189184651245,-0.0520792171300848
revision,midas_umidas,exact,pre_second,DELTA_TS,79,1.0,0.0,,,,3.1241130194946445,1.2474017897367604,0.0017971423327571
revision,monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,79,1.0,39.49367088607595,9.710951443869116e-05,9.737373165522986e-05,9.999453758722467e-05,0.4661643242436931,0.2890111881246651,0.0414876664120293
revision,no_revision,exact,pre_second,DELTA_TS,79,1.0,0.0,,,,0.3613823734957444,0.237986075949367,-0.0544341772151898
revision,release_dfm,exact,pre_second,DELTA_TS,79,1.0,0.0,,,,0.3674974342588111,0.245925021280354,-0.022718908630856
revision,revision_dfm_kalman_em,exact,pre_second,DELTA_TS,79,1.0,34.721518987341774,9.537107575999026e-05,9.584327186918316e-05,9.982291906049372e-05,0.362114998302428,0.2386318745189505,-0.0506353069800165
revision,spf,exact,pre_second,DELTA_TS,79,1.0,0.0,,,,0.3613823734957444,0.237986075949367,-0.0544341772151898
revision,standard_dfm,exact,pre_second,DELTA_TS,79,1.0,0.0,,,,0.3835418315017066,0.257022690899712,-0.0209105024052156
revision,ar,exact,pre_third,DELTA_MT,80,1.0,0.0,,,,3.029600437848392,1.7654017002683489,0.3284006384956069
revision,bridge,exact,pre_third,DELTA_MT,80,1.0,0.0,,,,1.9681597928674712,1.4938949101809555,-0.0888329936349379
revision,indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,80,1.0,30.6125,9.240740225633756e-05,9.355785774099046e-05,9.987629651028802e-05,1.338732745080212,1.05551,-0.032005
revision,joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,80,1.0,31.425,9.153522166525398e-05,9.308404620191686e-05,9.99572538723418e-05,1.34042475513909,1.0572828775452456,-0.0305926337679815
revision,midas_umidas,exact,pre_third,DELTA_MT,80,1.0,0.0,,,,7.878605056442747,5.424526380733331,1.7338434550072683
revision,monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,80,1.0,39.025,9.731653573356308e-05,9.78342824685252e-05,9.998084912168654e-05,1.3842197455064555,1.0955975600678056,0.0119106996065894
revision,no_revision,exact,pre_third,DELTA_MT,80,1.0,0.0,,,,1.338732745080212,1.05551,-0.032005
revision,release_dfm,exact,pre_third,DELTA_MT,80,1.0,0.0,,,,1.4367697354469968,1.10558091338168,0.456444244418291
revision,revision_dfm_kalman_em,exact,pre_third,DELTA_MT,80,1.0,34.3125,9.54149676731776e-05,9.60628400675017e-05,9.995555750809928e-05,1.340249393887566,1.0570074332414543,-0.0302191580019886
revision,spf,exact,pre_third,DELTA_MT,80,1.0,0.0,,,,1.338732745080212,1.05551,-0.032005
revision,standard_dfm,exact,pre_third,DELTA_MT,80,1.0,0.0,,,,1.5937136705042607,1.240005542337916,0.2064495764187809
revision,ar,pseudo,pre_advance,DELTA_SA,79,1.0,0.0,,,,0.6781421206748107,0.4682494597319136,0.0830363873945812
revision,bridge,pseudo,pre_advance,DELTA_SA,79,1.0,0.0,,,,0.7221269467369031,0.499362314943248,0.0016771364521281
revision,indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,1.0,31.164556962025316,9.137019564814885e-05,9.292180184479926e-05,9.968497096590474e-05,0.5696627235545563,0.3997025316455696,-0.0657987341772151
revision,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,79,1.0,31.56962025316456,9.12336119030481e-05,9.201623948469604e-05,9.998324235689236e-05,0.6382775164843705,0.4860078143995074,0.0678492320182489
revision,midas_umidas,pseudo,pre_advance,DELTA_SA,79,1.0,0.0,,,,13.49715297083284,7.690336465637759,1.1852625841386355
