model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
ar,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,2.91427503282673,,,not_available,3.0876,-0.17332496717326995,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
bridge,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.028159457585212,,,not_available,3.0876,-0.05944054241478813,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,5.274484848364292,3.169937531535757,1.7804318384975475,model_implied_state_space,3.0876,2.1868848483642918,False,True,26,-1485.8563266141362,-2474.8629392356793,-1485.8563266141362,0.1323210956904859,8.898594881291067e-05,26.0,0,{},13,expanding,40,1965:Q3,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,4.684585263000237,2.797863330110441,1.6726814789763296,model_implied_state_space,3.0876,1.5969852630002368,False,True,26,-1452.3013981524866,-2484.40955278901,-1452.3013981524866,0.14088115308663873,9.692930713006989e-05,26.0,0,{},13,expanding,40,1965:Q3,,,0.0
midas_umidas,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,16.786138488141816,,,not_available,3.0876,13.698538488141816,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
monthly_mixed_frequency_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,2.9786580162820466,3.284942193822135,1.8124409490579645,model_implied_state_space,3.0876,-0.1089419837179535,False,True,76,-2746.9610782457166,-3636.67613323536,-2746.9610782457166,0.26910320109527675,9.791872708188029e-05,76.0,0,{},13,expanding,40,1965:Q3,,,0.0
no_revision,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,2.979208231416087,,,not_available,3.0876,-0.10839176858391308,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
release_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.2631667880534185,,,not_available,3.0876,0.1755667880534184,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
revision_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.8860810334120455,3.0459105742667387,1.74525372776188,model_implied_state_space,3.0876,0.7984810334120453,False,True,68,-773.6569961525208,-1653.8962940127205,-773.6569961525208,0.07665992563534019,9.895003919593062e-05,68.0,0,{},13,expanding,40,1965:Q3,,,0.0
spf,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.7623,,,not_available,3.0876,0.6747000000000001,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
standard_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.2631667880534185,,,not_available,3.0876,0.1755667880534184,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
ar,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,A,2005:Q1,2.91427503282673,,,not_available,3.0876,-0.17332496717326995,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
bridge,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,A,2005:Q1,3.028159457585212,,,not_available,3.0876,-0.05944054241478813,False,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,A,2005:Q1,5.274484848364292,3.169937531535757,1.7804318384975475,model_implied_state_space,3.0876,2.1868848483642918,False,True,26,-1485.8563266141362,-2474.8629392356793,-1485.8563266141362,0.1323210956904859,8.898594881291067e-05,26.0,0,{},13,expanding,40,1965:Q3,,,0.0
