model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,revision_target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
ar,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.3356948084435101,,,not_available,0.3950999999999998,-0.05940519155648971,True,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
bridge,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.26328560705155324,,,not_available,0.3950999999999998,-0.13181439294844655,True,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,0.44100622559621083,0.6640829960149641,model_implied_state_space,0.3950999999999998,-0.3950999999999998,True,True,26,-1485.8563266141362,-2474.8629392356793,-1485.8563266141362,0.1323210956904859,8.898594881291067e-05,26.0,0,{},13,expanding,40,1965:Q3,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.3856540945764424,0.30718390365101644,0.5542417375577343,model_implied_state_space,0.3950999999999998,-0.009445905423557388,True,True,26,-1452.3013981524866,-2484.40955278901,-1452.3013981524866,0.14088115308663873,9.692930713006989e-05,26.0,0,{},13,expanding,40,1965:Q3,,,0.0
midas_umidas,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,-5.913731381635026,,,not_available,0.3950999999999998,-6.308831381635025,True,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
monthly_mixed_frequency_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.10093850225391021,0.3209507474422555,0.5665251516413508,model_implied_state_space,0.3950999999999998,-0.2941614977460896,True,True,76,-2746.9610782457166,-3636.67613323536,-2746.9610782457166,0.26910320109527675,9.791872708188029e-05,76.0,0,{},13,expanding,40,1965:Q3,,,0.0
no_revision,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,,,not_available,0.3950999999999998,-0.3950999999999998,True,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
release_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.17895044708613472,,,not_available,0.3950999999999998,-0.21614955291386506,True,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
revision_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.3662423723222439,0.34002404640869965,0.5831158087453123,model_implied_state_space,0.3950999999999998,-0.028857627677755904,True,True,68,-773.6569961525208,-1653.8962940127205,-773.6569961525208,0.07665992563534019,9.895003919593062e-05,68.0,0,{},13,expanding,40,1965:Q3,,,0.0
spf,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,,,not_available,0.3950999999999998,-0.3950999999999998,True,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
standard_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.17895044708613472,,,not_available,0.3950999999999998,-0.21614955291386506,True,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
ar,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.3356948084435101,,,not_available,0.3950999999999998,-0.05940519155648971,True,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
bridge,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.26328560705155324,,,not_available,0.3950999999999998,-0.13181439294844655,True,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,0.44100622559621083,0.6640829960149641,model_implied_state_space,0.3950999999999998,-0.3950999999999998,True,True,26,-1485.8563266141362,-2474.8629392356793,-1485.8563266141362,0.1323210956904859,8.898594881291067e-05,26.0,0,{},13,expanding,40,1965:Q3,,,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.3856540945764424,0.30718390365101644,0.5542417375577343,model_implied_state_space,0.3950999999999998,-0.009445905423557388,True,True,26,-1452.3013981524866,-2484.40955278901,-1452.3013981524866,0.14088115308663873,9.692930713006989e-05,26.0,0,{},13,expanding,40,1965:Q3,,,0.0
midas_umidas,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,-5.913731381635026,,,not_available,0.3950999999999998,-6.308831381635025,True,True,0,,,,,,,0,{},13,expanding,40,1965:Q3,,,0.0
monthly_mixed_frequency_kalman_em,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.10093850225391021,0.3209507474422555,0.5665251516413508,model_implied_state_space,0.3950999999999998,-0.2941614977460896,True,True,76,-2746.9610782457166,-3636.67613323536,-2746.9610782457166,0.26910320109527675,9.791872708188029e-05,76.0,0,{},13,expanding,40,1965:Q3,,,0.0
