model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
spf,exact,pre_advance,A,80,2.2249600782092696,1.33806625,0.0324862499999999,0.3117554421440996,0.1817896844347592,0.9375,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,A,80,3.065863149762876,1.6259560683385963,0.5613778136832769,0.4295805264860708,0.2108819315398012,0.9375,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,A,80,3.065863149762876,1.6259560683385963,0.5613778136832769,0.4295805264860708,0.2108819315398012,0.9375,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,A,80,3.3827862430691154,1.8234609227564789,0.1091382109060161,0.4739869408064941,0.1948587460097348,0.9625,1.0,24.575,9.376535119396296e-05,9.298978049113814e-05,9.994443166854442e-05,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,3.5659382343381996,2.1017620073080217,0.3030224497822503,0.499649706883457,0.2062106564235434,0.9125,1.0,31.75,8.967894642186287e-05,9.288089958204036e-05,9.97206468054178e-05,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,3.6095541875199935,1.9861752724982105,0.1553810590294854,0.5057610573305492,0.1941741672460805,0.925,1.0,32.025,9.139974192991349e-05,9.34951598169984e-05,9.968050670793468e-05,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,3.725297676313165,1.9813474811497176,0.1300663641953967,0.5219787247293537,0.2152630891973559,0.95,1.0,41.8,9.427379510625438e-05,9.564925750676356e-05,9.992598888191642e-05,0.0,0.0
bridge,exact,pre_advance,A,80,4.873697083215683,2.0735239008375914,-0.0866598675525098,0.6828893713352308,0.2066013457099369,0.9,1.0,0.0,,,,0.0,0.0
ar,exact,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.0348836821925187,1.0,1.0,0.9125,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.1943847229089564,1.0185748655930085,0.0511144806424531,0.8875,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_advance,A,80,51.30131611844798,13.398335726689965,9.945718040342223,7.188202901129402,0.1731910295361696,0.725,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,1.0,0.0,,,,0.0,0.0
