model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,revision_target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
ar,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.1956633149395115,,,not_available,0.3950999999999998,-0.19943668506048828,True,True,0,,,,,,,0,{},13,rolling,40,1993:Q1,,,0.0
bridge,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.10873306184056197,,,not_available,0.3950999999999998,-0.2863669381594378,True,True,0,,,,,,,0,{},13,rolling,40,1993:Q1,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,0.3667819675204793,0.6056252698826885,model_implied_state_space,0.3950999999999998,-0.3950999999999998,True,True,24,-1514.0075027373941,-1825.7103644165852,-1514.0075027373941,0.13717627318760606,9.05367487923231e-05,24.0,0,{},13,rolling,40,1993:Q1,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.3392998133038514,0.31062633491172376,0.5573386178183993,model_implied_state_space,0.3950999999999998,-0.05580018669614839,True,True,26,-1496.5568960978,-1829.4233082964972,-1496.5568960978,0.1389320840507935,9.276388532072769e-05,26.0,0,{},13,rolling,40,1993:Q1,,,0.0
midas_umidas,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.8250039027000367,,,not_available,0.3950999999999998,0.42990390270003687,True,True,0,,,,,,,0,{},13,rolling,40,1993:Q1,,,0.0
monthly_mixed_frequency_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.14558883828005253,0.27351793128465385,0.5229894179471071,model_implied_state_space,0.3950999999999998,-0.24951116171994725,True,True,33,-2805.65074286943,-3061.108301495063,-2805.65074286943,0.2754149444772338,9.811976838454943e-05,33.0,0,{},13,rolling,40,1993:Q1,,,0.0
no_revision,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,,,not_available,0.3950999999999998,-0.3950999999999998,True,True,0,,,,,,,0,{},13,rolling,40,1993:Q1,,,0.0
release_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.06498054735172376,,,not_available,0.3950999999999998,-0.330119452648276,True,True,0,,,,,,,0,{},13,rolling,40,1993:Q1,,,0.0
revision_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.25865597244429495,0.32444685202730206,0.5696023630808619,model_implied_state_space,0.3950999999999998,-0.13644402755570484,True,True,16,-824.2607572392914,-1037.6407054953688,-824.2607572392914,0.08249157915986416,9.994820855196652e-05,16.0,0,{},13,rolling,40,1993:Q1,,,0.0
spf,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.0,,,not_available,0.3950999999999998,-0.3950999999999998,True,True,0,,,,,,,0,{},13,rolling,40,1993:Q1,,,0.0
standard_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.06498054735172376,,,not_available,0.3950999999999998,-0.330119452648276,True,True,0,,,,,,,0,{},13,rolling,40,1993:Q1,,,0.0
ar,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.1956633149395115,,,not_available,0.3950999999999998,-0.19943668506048828,True,True,0,,,,,,,0,{},13,rolling,40,1993:Q1,,,0.0
bridge,pseudo,2005:Q1:pre_advance:pseudo,2005-04-30,pre_advance,DELTA_SA,DELTA_SA,2005:Q1,0.10873306184056197,,,not_available,0.3950999999999998,-0.2863669381594378,True,True,0,,,,,,,0,{},13,rolling,40,1993:Q1,,,0.0
