subsample,timing_mode,checkpoint_id,target_id,best_models,best_RMSE,best_MAE,best_bias,best_relative_RMSFE,best_DM_test,best_sign_accuracy,best_n_forecasts,n_models_compared,structured_family_win
full_sample,exact,pre_advance,A,spf,2.2249600782092696,1.3380662499999998,0.03248624999999996,0.20753205349822998,,0.9375,80,11,False
full_sample,exact,pre_second,S,no_revision,0.5696627235545563,0.3997025316455695,-0.0657987341772152,0.05413232219119137,,0.9620253164556962,79,11,False
full_sample,exact,pre_third,T,no_revision,0.36218671255306983,0.24027250000000003,-0.04849250000000001,0.03892900736145303,,1.0,80,11,False
full_sample,pseudo,pre_advance,A,spf,2.2249600782092696,1.3380662499999998,0.03248624999999996,0.20753205349822998,,0.9375,80,11,False
full_sample,pseudo,pre_second,S,no_revision,0.5696627235545563,0.3997025316455695,-0.0657987341772152,0.05413232219119137,,0.9620253164556962,79,11,False
full_sample,pseudo,pre_third,T,no_revision,0.36218671255306983,0.24027250000000003,-0.04849250000000001,0.03892900736145303,,1.0,80,11,False
exclude_pandemic,exact,pre_advance,A,spf,1.6192585097538492,1.1808628205128204,0.1954346153846154,0.3987235097941698,,0.9358974358974359,78,11,False
exclude_pandemic,exact,pre_second,S,monthly_mixed_frequency_kalman_em,0.5564829722436075,0.40679825932520486,0.052525633956998795,0.10588739891287614,,0.974025974025974,77,11,False
exclude_pandemic,exact,pre_third,T,no_revision,0.3625432587804929,0.23753461538461534,-0.04083717948717947,0.11033656890817119,,1.0,78,11,False
exclude_pandemic,pseudo,pre_advance,A,spf,1.6192585097538492,1.1808628205128204,0.1954346153846154,0.3987235097941698,,0.9358974358974359,78,11,False
exclude_pandemic,pseudo,pre_second,S,monthly_mixed_frequency_kalman_em,0.5576875551795368,0.4081613486783786,0.0503465084615531,0.10611660656202691,,0.974025974025974,77,11,False
exclude_pandemic,pseudo,pre_third,T,no_revision,0.3625432587804929,0.23753461538461534,-0.04083717948717947,0.11033656890817119,,1.0,78,11,False
pre_gfc,exact,pre_advance,A,spf,1.090472445777517,0.9954166666666668,0.2669,0.7522919148808154,,1.0,12,11,False
pre_gfc,exact,pre_second,S,monthly_mixed_frequency_kalman_em,0.5867767535409767,0.46226940678275885,-0.08482477954993155,0.3553201228307232,,1.0,12,11,False
pre_gfc,exact,pre_third,T,indicator_revision_only_dfm_kalman_em,0.18906876561876867,0.14767776235249722,-0.009079271186912714,0.10981543532669835,,1.0,12,11,False
pre_gfc,pseudo,pre_advance,A,spf,1.090472445777517,0.9954166666666668,0.2669,0.7522919148808154,,1.0,12,11,False
pre_gfc,pseudo,pre_second,S,monthly_mixed_frequency_kalman_em,0.5867787047022337,0.46227772517120713,-0.08483309793837983,0.3553213043479754,,1.0,12,11,False
pre_gfc,pseudo,pre_third,T,indicator_revision_only_dfm_kalman_em,0.18908419742129168,0.1477260539054118,-0.009064700134159723,0.10982439846826429,,1.0,12,11,False
gfc_and_recovery,exact,pre_advance,A,spf,1.2125790385137198,0.9368464285714285,0.08257500000000002,0.5423988871219924,,0.9285714285714286,28,11,False
gfc_and_recovery,exact,pre_second,S,monthly_mixed_frequency_kalman_em,0.7191764921787466,0.5592283447184044,0.20475387320361055,0.296060788630587,,0.9642857142857143,28,11,False
gfc_and_recovery,exact,pre_third,T,no_revision,0.5160822788775339,0.3388357142857142,0.021907142857142885,0.193274725346925,,1.0,28,11,False
gfc_and_recovery,pseudo,pre_advance,A,spf,1.2125790385137198,0.9368464285714285,0.08257500000000002,0.5423988871219924,,0.9285714285714286,28,11,False
gfc_and_recovery,pseudo,pre_second,S,monthly_mixed_frequency_kalman_em,0.7191752329975607,0.5594173297800205,0.20417069352894218,0.2960602702680168,,0.9642857142857143,28,11,False
gfc_and_recovery,pseudo,pre_third,T,no_revision,0.5160822788775339,0.3388357142857142,0.021907142857142885,0.193274725346925,,1.0,28,11,False
post_gfc_pre_pandemic,exact,pre_advance,A,bridge,0.907487370242545,0.7638299327671432,-0.12722376015218625,0.8826932157516386,,1.0,20,11,False
