model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,2.802057271753312,2.7906865217034893,,,,,0.0
ar,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,3.6308568420983725,3.674273661442146,,,,,0.0
ar,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,10.51664202898343,10.451895015643494,,,,,0.0
ar,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,2.802057271753312,2.7906865217034893,,,,,0.0
ar,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,3.6308568420983725,3.674273661442146,,,,,0.0
ar,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,10.51664202898343,10.451895015643494,,,,,0.0
bridge,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.7161815183585035,0.714865408837898,,,,,0.0
bridge,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.5460612110214157,0.544408906920047,,,,,0.0
bridge,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,2.808352982022204,2.8102884939189474,,,,,0.0
bridge,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.7207189499165227,0.7194136694381665,,,,,0.0
bridge,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.5453301829278251,0.5436474361619392,,,,,0.0
bridge,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,2.798659298505996,2.8014639673158137,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,79,1.0,1.0,0.2196781482594207,0.4338700913540925,0.5176772057679062,0.6248733506144568,0.5694656229901923,0.5696627235545563,1.096918096931812,1.0972977566816509,0.810126582278481,0.9240506329113924,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,79,1.0,1.0,0.0619828458939921,0.176050260565208,0.206698352130441,0.36217063567359364,0.3595420355888921,0.3613823734957444,1.0021812413544804,1.007310967354335,0.7721518987341772,0.8860759493670886,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,80,80,1.0,1.0,1.888221237007713,2.3443935562820744,2.9784386557232687,1.5570773627102052,1.3467940527344975,1.338732745080212,1.1630979883269463,1.156136203266382,0.8125,0.95,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,79,1.0,1.0,0.2196781782123231,0.4338708547999532,0.5177133724463538,0.6248787180885014,0.5694656229901923,0.5696627235545563,1.0969275191281795,1.0973071821391813,0.810126582278481,0.9240506329113924,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,79,1.0,1.0,0.0619828458939921,0.1760494911247544,0.2066983219903243,0.36212734647984424,0.3595420355888921,0.3613823734957444,1.0020614535703374,1.0071905664290899,0.7721518987341772,0.8860759493670886,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,80,80,1.0,1.0,1.8882208965717584,2.3443935764199444,2.9784386557232687,1.557049991781383,1.3467940527344975,1.338732745080212,1.1630775429251865,1.156115880241665,0.8125,0.95,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,79,1.0,1.0,0.1820905583946643,0.3507808204995233,0.4588070609038568,0.5680092785463645,0.8247944795550386,0.8248336237177745,0.6886349709971509,0.6886676531258975,0.6962025316455697,0.8354430379746836,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,79,79,1.0,1.0,0.058508284352037,0.1727828462020074,0.1902991639512177,0.35145616681332315,0.36235385274904675,0.36373865333925126,0.9662326606942362,0.969925293044225,0.759493670886076,0.8860759493670886,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,80,80,1.0,1.0,1.5186157860407912,2.3529964640699594,3.01140689987052,1.5561786525463996,1.3620858277968027,1.3543455096009658,1.1490263315488087,1.142496765467082,0.775,0.95,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,79,79,1.0,1.0,0.1820950741375098,0.3496842682333079,0.4588070609038568,0.5679292760877321,0.8227583616221658,0.8226296621516558,0.6903826864232762,0.6902746937363142,0.6962025316455697,0.8354430379746836,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,79,79,1.0,1.0,0.058508284352037,0.1727835707417109,0.1903053209312227,0.35147072457551914,0.36239766229787757,0.3637767328157722,0.966171535642206,0.9698482113458644,0.759493670886076,0.8860759493670886,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,80,80,1.0,1.0,1.5186157860407912,2.352996392312999,3.01140689987052,1.5561601946463242,1.3620878878516738,1.3543473058065576,1.14901117901924,1.1424814863457504,0.775,0.95,1.0
