date,ISRATIO_19970314,ISRATIO_19970415,ISRATIO_19970514,ISRATIO_19970613,ISRATIO_19970716,ISRATIO_19970814,ISRATIO_19970916,ISRATIO_19971016,ISRATIO_19971118,ISRATIO_19971212,ISRATIO_19980115,ISRATIO_19980213,ISRATIO_19980313,ISRATIO_19980415,ISRATIO_19980514,ISRATIO_19980612,ISRATIO_19980715,ISRATIO_19980814,ISRATIO_19980916,ISRATIO_19981015,ISRATIO_19981117,ISRATIO_19981215,ISRATIO_19990115,ISRATIO_19990212,ISRATIO_19990312,ISRATIO_19990414,ISRATIO_19990514,ISRATIO_19990614,ISRATIO_19990715,ISRATIO_19990813,ISRATIO_19990915,ISRATIO_19991015,ISRATIO_19991115,ISRATIO_19991215,ISRATIO_20000111,ISRATIO_20000214,ISRATIO_20000315,ISRATIO_20000414,ISRATIO_20000512,ISRATIO_20000614,ISRATIO_20000717,ISRATIO_20000814,ISRATIO_20000915,ISRATIO_20001016,ISRATIO_20001115,ISRATIO_20001214,ISRATIO_20010116,ISRATIO_20010214,ISRATIO_20010314,ISRATIO_20010413,ISRATIO_20010514,ISRATIO_20010614,ISRATIO_20010716,ISRATIO_20010815,ISRATIO_20010917,ISRATIO_20011015,ISRATIO_20011115,ISRATIO_20011214,ISRATIO_20020116,ISRATIO_20020214,ISRATIO_20020314,ISRATIO_20020415,ISRATIO_20020515,ISRATIO_20020614,ISRATIO_20020715,ISRATIO_20020814,ISRATIO_20020916,ISRATIO_20021015,ISRATIO_20021115,ISRATIO_20021213,ISRATIO_20030115,ISRATIO_20030214,ISRATIO_20030314,ISRATIO_20030414,ISRATIO_20030515,ISRATIO_20030612,ISRATIO_20030716,ISRATIO_20030813,ISRATIO_20030915,ISRATIO_20031016,ISRATIO_20031117,ISRATIO_20031211,ISRATIO_20040116,ISRATIO_20040212,ISRATIO_20040312,ISRATIO_20040413,ISRATIO_20040514,ISRATIO_20040615,ISRATIO_20040715,ISRATIO_20040812,ISRATIO_20040915,ISRATIO_20041015,ISRATIO_20041112,ISRATIO_20041213,ISRATIO_20050114,ISRATIO_20050215,ISRATIO_20050315,ISRATIO_20050414,ISRATIO_20050513,ISRATIO_20050615,ISRATIO_20050715,ISRATIO_20050811,ISRATIO_20050915,ISRATIO_20051014,ISRATIO_20051116,ISRATIO_20051213,ISRATIO_20060113,ISRATIO_20060214,ISRATIO_20060314,ISRATIO_20060413,ISRATIO_20060511,ISRATIO_20060613,ISRATIO_20060714,ISRATIO_20060811,ISRATIO_20060914,ISRATIO_20061013,ISRATIO_20061114,ISRATIO_20061213,ISRATIO_20070112,ISRATIO_20070214,ISRATIO_20070313,ISRATIO_20070416,ISRATIO_20070511,ISRATIO_20070613,ISRATIO_20070713,ISRATIO_20070813,ISRATIO_20070914,ISRATIO_20071012,ISRATIO_20071114,ISRATIO_20071213,ISRATIO_20080115,ISRATIO_20080213,ISRATIO_20080313,ISRATIO_20080414,ISRATIO_20080513,ISRATIO_20080612,ISRATIO_20080715,ISRATIO_20080813,ISRATIO_20080912,ISRATIO_20081015,ISRATIO_20081114,ISRATIO_20081212,ISRATIO_20090114,ISRATIO_20090212,ISRATIO_20090312,ISRATIO_20090414,ISRATIO_20090513,ISRATIO_20090611,ISRATIO_20090714,ISRATIO_20090813,ISRATIO_20090915,ISRATIO_20091014,ISRATIO_20091116,ISRATIO_20091211,ISRATIO_20100114,ISRATIO_20100128,ISRATIO_20100212,ISRATIO_20100312,ISRATIO_20100414,ISRATIO_20100514,ISRATIO_20100611,ISRATIO_20100714,ISRATIO_20100813,ISRATIO_20100914,ISRATIO_20101015,ISRATIO_20101115,ISRATIO_20101214,ISRATIO_20110114,ISRATIO_20110215,ISRATIO_20110311,ISRATIO_20110413,ISRATIO_20110512,ISRATIO_20110614,ISRATIO_20110714,ISRATIO_20110812,ISRATIO_20110914,ISRATIO_20111014,ISRATIO_20111115,ISRATIO_20111213,ISRATIO_20120112,ISRATIO_20120214,ISRATIO_20120313,ISRATIO_20120416,ISRATIO_20120515,ISRATIO_20120613,ISRATIO_20120716,ISRATIO_20120814,ISRATIO_20120914,ISRATIO_20121015,ISRATIO_20121114,ISRATIO_20121213,ISRATIO_20130115,ISRATIO_20130213,ISRATIO_20130313,ISRATIO_20130412,ISRATIO_20130513,ISRATIO_20130613,ISRATIO_20130715,ISRATIO_20130813,ISRATIO_20130913,ISRATIO_20131029,ISRATIO_20131120,ISRATIO_20131212,ISRATIO_20140114,ISRATIO_20140213,ISRATIO_20140313,ISRATIO_20140414,ISRATIO_20140513,ISRATIO_20140612,ISRATIO_20140715,ISRATIO_20140813,ISRATIO_20140912,ISRATIO_20141015,ISRATIO_20141114,ISRATIO_20141211,ISRATIO_20150114,ISRATIO_20150212,ISRATIO_20150312,ISRATIO_20150414,ISRATIO_20150513,ISRATIO_20150611,ISRATIO_20150714,ISRATIO_20150813,ISRATIO_20150915,ISRATIO_20151014,ISRATIO_20151113,ISRATIO_20151211,ISRATIO_20160115,ISRATIO_20160212,ISRATIO_20160315,ISRATIO_20160413,ISRATIO_20160513,ISRATIO_20160614,ISRATIO_20160715,ISRATIO_20160812,ISRATIO_20160915,ISRATIO_20161014,ISRATIO_20161115,ISRATIO_20161214,ISRATIO_20170113,ISRATIO_20170215,ISRATIO_20170315,ISRATIO_20170414,ISRATIO_20170512,ISRATIO_20170614,ISRATIO_20170714,ISRATIO_20170815,ISRATIO_20170915,ISRATIO_20171013,ISRATIO_20171115,ISRATIO_20171214,ISRATIO_20180112,ISRATIO_20180214,ISRATIO_20180314,ISRATIO_20180416,ISRATIO_20180515,ISRATIO_20180614,ISRATIO_20180716,ISRATIO_20180815,ISRATIO_20180914,ISRATIO_20181015,ISRATIO_20181115,ISRATIO_20181214,ISRATIO_20190214,ISRATIO_20190311,ISRATIO_20190401,ISRATIO_20190418,ISRATIO_20190515,ISRATIO_20190614,ISRATIO_20190716,ISRATIO_20190815,ISRATIO_20190913,ISRATIO_20191016,ISRATIO_20191115,ISRATIO_20191213,ISRATIO_20200116,ISRATIO_20200214,ISRATIO_20200317,ISRATIO_20200415,ISRATIO_20200515,ISRATIO_20200616,ISRATIO_20200716,ISRATIO_20200814,ISRATIO_20200916,ISRATIO_20201016,ISRATIO_20201117,ISRATIO_20201216,ISRATIO_20210115,ISRATIO_20210217,ISRATIO_20210316,ISRATIO_20210415,ISRATIO_20210514,ISRATIO_20210615,ISRATIO_20210716,ISRATIO_20210817,ISRATIO_20210916,ISRATIO_20211015,ISRATIO_20211116,ISRATIO_20211215,ISRATIO_20220114,ISRATIO_20220216,ISRATIO_20220316,ISRATIO_20220414,ISRATIO_20220517,ISRATIO_20220615,ISRATIO_20220715,ISRATIO_20220817,ISRATIO_20220915,ISRATIO_20221014,ISRATIO_20221116,ISRATIO_20221215,ISRATIO_20230118,ISRATIO_20230215,ISRATIO_20230315,ISRATIO_20230414,ISRATIO_20230516,ISRATIO_20230615,ISRATIO_20230718,ISRATIO_20230815,ISRATIO_20230914,ISRATIO_20231017,ISRATIO_20231115,ISRATIO_20231214,ISRATIO_20240117,ISRATIO_20240215,ISRATIO_20240314,ISRATIO_20240415,ISRATIO_20240515,ISRATIO_20240618,ISRATIO_20240716,ISRATIO_20240815,ISRATIO_20240917,ISRATIO_20241017,ISRATIO_20241115,ISRATIO_20241217,ISRATIO_20250116,ISRATIO_20250214,ISRATIO_20250317,ISRATIO_20250416,ISRATIO_20250515,ISRATIO_20250617,ISRATIO_20250717,ISRATIO_20250815,ISRATIO_20250916,ISRATIO_20251125,ISRATIO_20251216,ISRATIO_20260114,ISRATIO_20260210,ISRATIO_20260306,ISRATIO_20260401,ISRATIO_20260421
1948-01-01,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1948-02-01,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1948-03-01,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1948-04-01,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1948-05-01,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1948-06-01,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1948-07-01,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1948-08-01,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1948-09-01,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1948-10-01,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
