date,W875RX1_20100528,W875RX1_20100628,W875RX1_20100803,W875RX1_20100830,W875RX1_20101001,W875RX1_20101101,W875RX1_20101124,W875RX1_20101223,W875RX1_20110131,W875RX1_20110228,W875RX1_20110328,W875RX1_20110429,W875RX1_20110527,W875RX1_20110627,W875RX1_20110802,W875RX1_20110829,W875RX1_20110930,W875RX1_20111028,W875RX1_20111123,W875RX1_20111223,W875RX1_20120130,W875RX1_20120301,W875RX1_20120330,W875RX1_20120430,W875RX1_20120601,W875RX1_20120629,W875RX1_20120731,W875RX1_20120830,W875RX1_20120928,W875RX1_20121029,W875RX1_20121130,W875RX1_20121221,W875RX1_20130131,W875RX1_20130301,W875RX1_20130329,W875RX1_20130429,W875RX1_20130531,W875RX1_20130627,W875RX1_20130802,W875RX1_20130830,W875RX1_20130927,W875RX1_20131108,W875RX1_20131206,W875RX1_20131223,W875RX1_20140131,W875RX1_20140303,W875RX1_20140328,W875RX1_20140501,W875RX1_20140530,W875RX1_20140626,W875RX1_20140801,W875RX1_20140829,W875RX1_20140929,W875RX1_20141031,W875RX1_20141126,W875RX1_20141223,W875RX1_20150202,W875RX1_20150302,W875RX1_20150330,W875RX1_20150430,W875RX1_20150601,W875RX1_20150625,W875RX1_20150803,W875RX1_20150828,W875RX1_20150928,W875RX1_20151030,W875RX1_20151125,W875RX1_20151223,W875RX1_20160201,W875RX1_20160226,W875RX1_20160328,W875RX1_20160429,W875RX1_20160531,W875RX1_20160629,W875RX1_20160802,W875RX1_20160829,W875RX1_20160930,W875RX1_20161031,W875RX1_20161130,W875RX1_20161222,W875RX1_20170130,W875RX1_20170301,W875RX1_20170331,W875RX1_20170501,W875RX1_20170530,W875RX1_20170630,W875RX1_20170801,W875RX1_20170831,W875RX1_20170929,W875RX1_20171030,W875RX1_20171130,W875RX1_20171222,W875RX1_20180129,W875RX1_20180301,W875RX1_20180329,W875RX1_20180430,W875RX1_20180531,W875RX1_20180629,W875RX1_20180731,W875RX1_20180830,W875RX1_20180928,W875RX1_20181029,W875RX1_20181129,W875RX1_20181221,W875RX1_20190301,W875RX1_20190329,W875RX1_20190429,W875RX1_20190531,W875RX1_20190628,W875RX1_20190730,W875RX1_20190830,W875RX1_20190927,W875RX1_20191031,W875RX1_20191127,W875RX1_20191220,W875RX1_20200131,W875RX1_20200228,W875RX1_20200327,W875RX1_20200430,W875RX1_20200529,W875RX1_20200626,W875RX1_20200731,W875RX1_20200828,W875RX1_20201001,W875RX1_20201030,W875RX1_20201125,W875RX1_20201223,W875RX1_20210129,W875RX1_20210226,W875RX1_20210326,W875RX1_20210430,W875RX1_20210528,W875RX1_20210625,W875RX1_20210730,W875RX1_20210827,W875RX1_20211001,W875RX1_20211029,W875RX1_20211124,W875RX1_20211223,W875RX1_20220128,W875RX1_20220225,W875RX1_20220331,W875RX1_20220429,W875RX1_20220527,W875RX1_20220630,W875RX1_20220729,W875RX1_20220826,W875RX1_20220930,W875RX1_20221028,W875RX1_20221201,W875RX1_20221223,W875RX1_20230127,W875RX1_20230224,W875RX1_20230331,W875RX1_20230428,W875RX1_20230526,W875RX1_20230630,W875RX1_20230728,W875RX1_20230831,W875RX1_20230929,W875RX1_20231027,W875RX1_20231130,W875RX1_20231222,W875RX1_20240126,W875RX1_20240229,W875RX1_20240329,W875RX1_20240426,W875RX1_20240531,W875RX1_20240628,W875RX1_20240726,W875RX1_20240830,W875RX1_20240927,W875RX1_20241031,W875RX1_20241127,W875RX1_20241220,W875RX1_20250131,W875RX1_20250228,W875RX1_20250328,W875RX1_20250430,W875RX1_20250530,W875RX1_20250627,W875RX1_20250731,W875RX1_20250829,W875RX1_20250926,W875RX1_20251205,W875RX1_20251223,W875RX1_20260122,W875RX1_20260220,W875RX1_20260313,W875RX1_20260409
1959-01-01,1967.6,1967.6,1967.6,1967.6,1967.6,1967.6,1967.6,1967.6,1967.6,1967.6,1967.6,1967.6,1967.6,1967.6,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,1966.7,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2151.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2288.8,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2293.2,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0,2426.0
1959-02-01,1976.9,1976.9,1976.9,1976.9,1976.9,1976.9,1976.9,1976.9,1976.9,1976.9,1976.9,1976.9,1976.9,1976.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,1975.9,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2160.4,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2297.0,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2301.5,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8,2434.8
1959-03-01,1992.8,1992.8,1992.8,1992.8,1992.8,1992.8,1992.8,1992.8,1992.8,1992.8,1992.8,1992.8,1992.8,1992.8,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,1991.9,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2176.2,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2314.0,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2318.5,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7,2452.7
1959-04-01,2006.9,2006.9,2006.9,2006.9,2006.9,2006.9,2006.9,2006.9,2006.9,2006.9,2006.9,2006.9,2006.9,2006.9,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2006.0,2190.8,2190.8,2190.8,2190.8,2190.8,2190.8,2190.8,2190.8,2190.8,2190.8,2190.8,2190.8,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2190.7,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2330.3,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2334.9,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0
1959-05-01,2021.5,2021.5,2021.5,2021.5,2021.5,2021.5,2021.5,2021.5,2021.5,2021.5,2021.5,2021.5,2021.5,2021.5,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2020.6,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2205.7,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2345.8,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2350.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4,2486.4
1959-06-01,2027.9,2027.9,2027.9,2027.9,2027.9,2027.9,2027.9,2027.9,2027.9,2027.9,2027.9,2027.9,2027.9,2027.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2212.8,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2357.4,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9,2493.9
1959-07-01,2025.3,2025.3,2025.3,2025.3,2025.3,2025.3,2025.3,2025.3,2025.3,2025.3,2025.3,2025.3,2025.3,2025.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2024.3,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2210.7,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2355.6,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0,2492.0
1959-08-01,2013.5,2013.5,2013.5,2013.5,2013.5,2013.5,2013.5,2013.5,2013.5,2013.5,2013.5,2013.5,2013.5,2013.5,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2012.6,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2198.2,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2337.6,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7
1959-09-01,2012.9,2012.9,2012.9,2012.9,2012.9,2012.9,2012.9,2012.9,2012.9,2012.9,2012.9,2012.9,2012.9,2012.9,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2197.4,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2337.5,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2342.1,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7,2477.7
1959-10-01,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2017.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2201.2,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2340.3,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2344.8,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6
